"Read Details","Leggi i dettagli"
"Mark as Read","Marca come già letto"
"Are you sure?","Sei sicuro?"
"Remove","Rimuovi"
"Messages Inbox","Messaggi in arrivo"
"You have %1 new system messages","Hai %1 nuovi messaggi di sistema"
"You have %1 new system message","Hai %1 nuovo messaggio di sistema"
"Incoming Message","Incoming Message"
"close","chiuso"
"Read details","Leggi i dettagli"
"Notifications","Notifiche"
"The message has been marked as Read.","Il messaggio è stato marcato come letto."
"We couldn't mark the notification as Read because of an error.","Non è possibile marcare le notifiche come lette a causa di un errore."
"Please select messages.","Seleziona i messaggi."
"A total of %1 record(s) have been marked as Read.","Un totale di %1 risultati sono stati marcati come letti."
"The message has been removed.","Il messaggio è stato rimosso."
"We couldn't remove the messages because of an error.","Non è possibile rimuovere i messaggi a causa di un errore."
"Total of %1 record(s) have been removed.","Un totale di %1 risultati sono stati rimossi."
"1 Hour","1 ora"
"2 Hours","2 ore"
"6 Hours","6 ore"
"12 Hours","12 ore"
"24 Hours","24 ore"
"critical","critico"
"major","principale"
"minor","secondario"
"notice","Avviso"
"Wrong message type","Tipo messaggio errato"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} non è raccomandabile in un ambiente di produzione dichiarare Base Unsecure URL / Base Secure URL. Si raccomanda di modificare questo valore nella <a href=""%1"">configurazione</a> di Magento."
"One or more of the Cache Types are invalidated: %1. ","Uno o più tipi di cache sono stati invalidati: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Vai su <a href=""%1"">Gestione Cache</a> e aggiorna i tipi di cache."
"One or more media files failed to be synchronized during the media storages synchronization process. Refer to the log file for details.","Uno o più media file non sono stati sincronizzati durante il processo di archiviazione. Per i dettagli leggere il file di log."
"Synchronization of media storages has been completed.","La sincronizzazione degli archivi multimediali è stata completata."
"Your web server is configured incorrectly. As a result, configuration files with sensitive information are accessible from the outside. Please contact your hosting provider.","Il tuo web server non è configurato correttamente. Come risultato i file di configurazione con dati sensibili sono accessibili dall\'esterno. Contatta il tuo fornitore di hosting."
"We appreciate our merchants' feedback. Please <a href=""#"" data-mage-init=%1>take our survey</a> and tell us about features you'd like to see in Magento.","Apprezziamo il feedback dei nostri commercianti. Partecipa <a href=""#"" data-mage-init=%1>al nostro sondaggio</a> per fornire indicazioni sulle caratteristiche che vorresti su Magento."
"Close popup","Chiudi popup"
"Close","Chiudi"
"Critical System Messages","Messaggi di sistema critici"
"Major System Messages","Messaggi di sistema principali"
"System messages","Messaggi di sistema"
"Notification","Notifica"
"Cancel","Cancella"
"Acknowledge","Riconoscere"
"See All (%1 unread)","Vedi tutti (%1 non letto(i))"
"Actions","Azioni"
"Message","Messaggio"
"Use HTTPS to Get Feed","Usa HTTPS per ottenere i Feed"
"Update Frequency","Frequenza di aggiornamento"
"Last Update","Ultimo aggiornamento"
"Severity","Gravità"
"Date Added","Data aggiunta"
