"Custom","Personalizzato"
"Are you sure?","Sei sicuro?"
"Close","Chiuso"
"Cancel","Cancella"
"Back","Indietro"
"Product","Prodotto"
"Price","Prezzo"
"Quantity","Quantità"
"ID","ID"
"SKU","SKU"
"Customers","Clienti"
"No","No"
"Subtotal","Subtotale"
"Discount","Sconto"
"Action","Azione"
"Excl. Tax","Tasse escluse"
"Total","Totale"
"Incl. Tax","Tasse incluse"
"Total incl. tax","Totale tasse incluse"
"Reset","Reset"
"Edit","Modifica"
"What is this?","Cos\'è questo?"
"Invalid Form Key. Please refresh the page.","Struttura chiave non valida. Ricarica la pagina."
"You entered an invalid Secret Key. Please refresh the page.","È stata inserita una chiave segreta non valida. Ricaricare la pagina."
"Cache Storage Management","Gestione archivio cache"
"Flush Magento Cache","Svuota la cache di Magento"
"Cache storage may contain additional data. Are you sure that you want flush it?","L\'archivio cache può contenere dati addizionali. Sei sicuro di volerlo svuotare?"
"Flush Cache Storage","Svuota archivio cache"
"Invalidated","Invalidato"
"Orders","Ordini"
"Amounts","Importi"
"Bestsellers","Bestsellers"
"Most Viewed Products","Prodotti più visualizzati"
"New Customers","Nuovi clienti"
"Customer","Cliente"
"Guest","Ospite"
"Items","Articoli"
"Grand Total","Somma totale"
"Lifetime Sales","Vendite dall'inizio dell'attività"
"Average Orders","Media ordini"
"Search Term","Termini di ricerca"
"Results","Risultati"
"Uses","Utilizzi"
"Average","Media"
"Order Quantity","Quantità ordine"
"Views","Visualizzazioni"
"Revenue","Entrate"
"Tax","Tasse"
"Shipping","Spedizione"
"Images (.gif, .jpg, .png)","Immagini (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Media (.avi, .flv, .swf)"
"All Files","Tutti i file"
"Interface Language","Lingua interfaccia"
"Reset to Default","Ripristina impostazioni di default"
"All Store Views","Tutte le viste negozio"
"Save Account","Salva account"
"My Account","Il mio account"
"Account Information","Informazioni account"
"User Name","Nome utente"
"First Name","Nome"
"Last Name","Cognome"
"Email","Email"
"User Email","Email utente"
"New Password","Nuova password"
"Password Confirmation","Conferma password"
"Interface Locale","Interfaccia locale"
"Save Cache Settings","Salva impostazioni cache"
"Catalog Rewrites","Rewrites catalogo"
"Refresh","Aggiorna"
"Images Cache","Cache immagini"
"Clear","Pulisci"
"Search Index","Indice di ricerca"
"Rebuild","Ricostruire"
"Inventory Stock Status","Stato inventario di magazzino"
"Rebuild Catalog Index","Ricostruisci indice catalogo"
"Rebuild Flat Catalog Category","Ricostruire catalogo categorie flat"
"Rebuild Flat Catalog Product","Ricostruire catalogo prodotti flat"
"Cache Control","Controllo cache"
"All Cache","Tutta la cache"
"No change","Nessuna modifica"
"Disable","Disabilita"
"Enable","Abilita"
"Default Config","Configurazione predefinita"
"Save Config","Salva configurazione"
"[GLOBAL]","[GLOBALE]"
"[WEBSITE]","[SITO WEB]"
"[STORE VIEW]","[VISTA NEGOZIO]"
"Use Default","Usa predefinito"
"Use Website","Usa sito web"
"Add","Aggiungi"
"Delete File","Cancella file"
"Search String","Cerca stringa"
"Design Theme","Design Tema"
"Add \Exception","Aggiungi \Eccezione"
"-- No Theme --","-- Nessun tema --"
"Synchronize","Sincronizza"
"Configuration","Configurazione"
"Add Design Change","Aggiungi modifiche design"
"Delete","Elimina"
"Save","Salva"
"Edit Design Change","Edita modifiche design"
"New Store Design Change","Modifiche design nuovo negozio"
"General Settings","Impostazioni generali"
"Store","Negozio"
"-- Please Select --","-- Selezionare --"
"Custom Design","Design personalizzato"
"Date From","Data da"
"Date To","Data a"
"Design Change","Modifiche design"
"General","Generale"
"Delete %1 '%2'","Elimina %1 '%2'"
"Delete %1","Elimina %1"
"Block Information","Informazioni blocco"
"Backup Options","Opzioni di backup"
"Create DB Backup","Create DB Backup"
"Yes","Sì"
"Delete Store","Elimina negozio"
"Delete Web Site","Elimina sito web"
"Save Web Site","Salva sito web"
"Save Store","Salva negozio"
"Save Store View","Salva vista negozio"
"Delete Store View","Elimina vista negozio"
"Edit Web Site","Modifica sito web"
"New Web Site","Nuovo sito web"
"Edit Store","Modifica negozio"
"New Store","Nuovo negozio"
"Edit Store View","Modifica vista negozio"
"New Store View","Nuova vista negozio"
"Store Information","Informazioni negozio"
"Web Site","Sito web"
"Name","Nome"
"Root Category","Categoria di root"
"Default Store View","Vista negozio predefinita"
"Store View Information","Informazioni vista negozio"
"Code","Codice"
"Status","Status"
"Disabled","Disabilitato"
"Enabled","Abilitato"
"Sort Order","Ordinamento"
"Web Site Information","Informazioni sito web"
"Default Store","Negozio predefinito"
"Set as Default","Imposta come predefinito"
"Stores","Negozi"
"Create Website","Crea sito web"
"Create Store","Crea negozio"
"Create Store View","Crea vista negozio"
"Custom Variables","Variabili personalizzate"
"Add New Variable","Aggiungi variabile"
"Save and Continue Edit","Salva e continua la modifica"
"Custom Variable ""%1""","Variable personalizzata ""%1"""
"New Custom Variable","Nuova variabile personalizzata"
"Variable","Variable"
"Variable Code","Codice variabile"
"Variable Name","Nome variabile"
"Use Default Variable Values","Usa valori variabili predefiniti"
"Variable HTML Value","Valore variabile HTML"
"Variable Plain Value","Variable Plain Value"
"URL Rewrite Management","Gestione URL Rewrite"
"Add URL Rewrite","Aggiungi URL Rewrite"
"Edit URL Rewrite for a Category","Modifica URL Rewrite per una categoria"
"Add URL Rewrite for a Category","Aggiungi URL Rewrite per una categoria"
"Category:","Categoria:"
"We can't set up a URL rewrite because the product you chose is not associated with a website.","Non è possibile impostare un URL rewrite perché il prodotto scelto non è associato ad un sito web."
"We can't set up a URL rewrite because the category your chose is not associated with a website.","Non è possibile impostare un URL rewrite perché la categoria scelta non è associata ad un sito web."
"Edit URL Rewrite for a Product","Modifica l\'URL Rewrite per un prodotto"
"Add URL Rewrite for a Product","Aggiungi un URL Rewrite per un prodotto"
"Product:","Prodotto:"
"Skip Category Selection","Salta selezione categorie"
"Edit URL Rewrite for CMS page","Modifica l\'URL Rewrite per la pagina CMS"
"Add URL Rewrite for CMS page","Aggiungi un URL Rewrite per la pagina CMS"
"CMS page:","Pagina CMS:"
"Chosen cms page does not associated with any website.","La pagina CMS scelta non è associata a nessun sito web."
"Title","Titolo"
"URL Key","URL Key"
"Store View","Vista negozio"
"Edit URL Rewrite","Modifica URL Rewrite"
"Add New URL Rewrite","Aggiungi nuovo URL Rewrite"
"Are you sure you want to do this?","Sei sicuro di volerlo fare?"
"URL Rewrite Information","Informazioni URL Rewrite"
"Type","Tipo"
"ID Path","Percorso ID"
"Request Path","Percorso richiesto"
"Target Path","Percorso di destinazione"
"Redirect","Redirect"
"Description","Descrizione"
"For category","Per categoria"
"For product","Per prodotto"
"For CMS page","Per pagina CMS"
"Create URL Rewrite:","Crea URL Rewrite:"
"Global Attribute","Attributo globale"
"This attribute shares the same value in all stores.","Questo attributo condivide lo stesso valore in tutti i negozi."
