"Cancel","Cancella"
"Action","Azione"
"failed","fallito"
"successful","riuscito"
"Delete","Elimina"
"Name","Nome"
"Type","Tipo"
"System","Sistema"
"We can't save the Cron expression.","Non è possibile salvare l\'espressione Cron."
"Database","Database"
"Time","Ora"
"System Backup","Backup di sistema"
"Database and Media Backup","Database and Media Backup"
"Database Backup","Database Backup"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","L\'archivio può essere decompresso con <a href=""%1"">%2</a> su sistemi Windows."
"Backups","Backups"
"Tools","Strumenti"
"Backup","Backup"
"You need more permissions to activate maintenance mode right now.","Hai bisogno di permessi maggiori per attivare la modalità manutenzione."
"To continue with the backup, you need to either deselect ' '""Put store on the maintenance mode"" or update your permissions.","Per continuare con il backup, devi deselezionare ' '""Metti il negozio in modalità manutenzione"" o aggiornare i tuoi permessi."
"Something went wrong putting your store into maintenance mode.","Qualcosa è andato storto mentre si metteva il negozio in modalità manutenzione."
"You need more free space to create a backup.","Hai bisogno di più spazio libero per creare un backup."
"You need more permissions to create a backup.","Hai bisogno di permessi maggiori per creare un backup."
"Something went wrong creating the backup.","Qualcosa è andato storto durante la creazione del backup."
"Please correct the password.","Correggere la password."
"To continue with the rollback, you need to either deselect ' '""Put store on the maintenance mode"" or update your permissions.","Per continuare con il ripristino, devi deselezionare ' '""Metti il negozio in modalità manutenzione"" o aggiornare i tuoi permessi."
"The backup file was not found.","Il file di backup non è stato trovato."
"We couldn't connect to the FTP.","Impossibile connettersi via FTP."
"Failed to validate FTP","Impossibile convaliadre FTP"
"Not enough permissions to perform rollback.","Non si dispone dei permessi necessari per eseguire il ripristino."
"Failed to rollback","Ripristino fallito"
"We couldn't delete one or more backups.","Impossibile eliminare uno o più backup."
"The selected backup(s) has been deleted.","I backup selezionati sono stati eliminati."
"Database and Media","Database e Media"
"System (excluding Media)","Sistema (Media esclusi)"
"The system backup has been created.","Il backup di sistema è stato creato."
"The system backup (excluding media) has been created.","Il backup di sistema (media esclusi) è stato creato."
"The database and media backup has been created.","Il backup del database e dei media è stato creato."
"The database backup has been created.","Il backup del database è stato creato."
"Please correct the order of creation for a new backup.","Correggere l\'ordine di creazione per un nuovo backup."
"The backup file does not exist.","Il file di backup non esiste."
"The backup file path was not specified.","Il percorso per il file di backup non è stato specificato."
"The backup file ""%1"" does not exist.","Il file di backup ""%1"" non esiste."
"Sorry, but we cannot read from or write to backup file ""%1"".","Non è possibile leggere o scrivere sul file di backup ""%1""."
"The backup file handler was unspecified.","Il gestore del file di backup non è stato specificato."
"Something went wrong writing to the backup file ""%1"".","Qualcosa è andato storto durante la scrittura sul file di backup ""%1""."
"Warning","Attenzione"
"Any data created since the backup was made will be lost including admin users, customers and orders.","Qualsiasi dato creato dal momento in cui il backup è stato creato andrà persa, compresi gli utenti admin, clienti e ordini."
"Are you sure you want to proceed?","Sei sicuro di voler continuare?"
"OK","OK"
"It will take time to create a backup.","Ci vorrà del tempo per creare il backup."
"Please wait until the action ends.","Attendere fino al completamento dell'azione."
"Are you sure you want to continue?","Sei sicuro di voler continuare?"
"Backup options","Opzioni di backup"
"Please specify backup creation option.","Specificare le opzioni di creazioni del backup."
"Backup Name","Nome backup"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Utilizzare solo lettere (a-z or A-Z), numeri (0-9) o spazi in questo campo."
"Please put your store into maintenance mode during backup.","Si prega di mettere il negozio in modalità manutenzione durante la fase di backup."
"Exclude media folder from backup","Escludi la cartella media dal backup."
"Please enter a password.","Inserire password."
"Please enter the password to confirm rollback.","Inserire la password per confermare il ripristino."
"This action cannot be undone.","Questa azione non potrà essere annullata."
"User Password","Password utente"
"Please put your store into maintenance mode during rollback processing.","Si prega di mettere il negozio in modalità manutenzione durante il processo di ripristino."
"Use FTP Connection","Usare connessione FTP"
"FTP credentials","Credenziali FTP"
"FTP Host","FTP Host"
"FTP Login","FTP Login"
"FTP Password","FTP Password"
"Magento root directory","Directory di root di Magento"
"Create Backup","Creare Backup"
"Download","Download"
"Start Time","Tempo di inizio"
"Frequency","Frequenza"
"Scheduled Backup Settings","Impostazioni backup programmato"
"Enable Scheduled Backup","Abilita backup programmati"
"Backup Type","Tipo backup"
"Maintenance Mode","Modalità manutenzione"
"Are you sure you want to delete the selected backup(s)?","Sei sicuro di voler eliminare il/i backup selezionato/i?"
"Size(bytes)","Dimensione(bytes)"
"Rollback","Ripristino"
