"None","Nessuno"
"Close","Chiuso"
"Cancel","Cancella"
"Product","Prodotto"
"Price","Prezzo"
"ID","ID"
"SKU","SKU"
"Qty","Qtà"
"Excl. Tax","Tasse escluse"
"Total","Totale"
"Incl. Tax","Tasse incluse"
"Total incl. tax","Totale tasse incluse"
"Delete","Elimina"
"Name","Nome"
"From","Da"
"To","A"
"Required","Obbligatorio"
"Position","Posizione"
"Percent Discount","Percentuale sconto"
"-- Select --","-- Seleziona --"
"Dynamic","Dinamico"
"Fixed","Fissato"
"Create New Option","Crea nuova opzione"
"Bundle Items","Articoli bundle"
"Add Products to Option","Aggiungi prodotti all\'opzione"
"Delete Option","Cancela opzione"
"Please enter search conditions to view products.","Inserire le condizioni di ricerca per visualizzare i prodotti."
"Use Default Value","Usa valore predefinito"
"There is no defined renderer for ""%1"" option type.","Non c\'è un render definito per il tipo di opzione ""%1"" ."
"As Low as","A partire da"
"Price Range","Fascia di prezzo"
"Please specify product option(s).","Specificare le opzioni prodotto."
"Please select all required options.","Selezionare tutte le opzioni obbligatorie."
"The required options you selected are not available.","Le opzioni da te selezionate non sono disponibili."
"We cannot add this item to your shopping cart.","Non è possibile aggiungere questo articolo al carrello."
"N/A","ND"
"Percent","Percentuale"
"Qty:","Qtà:"
"Choose a selection...","Scegliere una selezione..."
"Ship Bundle Items","Spedisci prodotti bundle"
"Separately","Separatamente"
"Together","Insieme"
"Option Title","Opzioni titolo"
"Store View Title","Titolo vista negozio"
"Input Type","Tipo di input"
"There are no products in this option.","Non ci sono prodotti in questa opzione"
"New Option","Nuova opzione"
"Default","Predefinito"
"Price Type","Tipo di prezzo"
"Default Quantity","Quantità predefinita"
"User Defined","Definito dall\'utente"
"Ordered","Ordinato"
"Invoiced","Fatturati"
"Shipped","Spedito"
"Refunded","Rimborsato"
"Canceled","Cancellato"
"As low as","A partire da"
"From:","Da:"
"To:","A:"
"Buy %1 with %2 discount each","Acquista %1 con il %2 di sconto ciascuno"
"Go back to product details","Ritorna ai dettagli prodotto."
"Customize and Add to Cart","Personalizza ed aggiungi al carrello."
"* Required Fields","* Campi obbligatori"
"Your Customization","La tua personalizzazione"
"Availability","Disponibilità"
"In stock","Disponibile"
"Out of stock","Non disponibile"
"Summary","Riepilogo"
"%1 x %2","%1 x %2"
"Availability:","Disponibilità:"
"Customize %1","Personalizza %1"
"No options of this product are available.","Non sono disponibili opzioni di questo prodotto."
"Gift Message","Messaggio regalo"
"Message:","Messaggio:"
"Excl. Tax:","Tasse escluse:"
"Incl. Tax:","Tasse incluse:"
"Total Incl. Tax","Totale tasse incluse"
"Add Products to New Option","Aggiungi prodotti alla nuova opzione"
"Add Products to Option ""%1""","Aggiungi prodotti all\'opzione ""%1"""
"Add Selected Products","Aggiungi prodotti selezionati"
