"All","Tutto"
"None","Nessuno"
"Are you sure?","Sei sicuro?"
"Cancel","Cancella"
"Back","Indietro"
"Product","Prodotto"
"Price","Prezzo"
"Quantity","Quantità"
"Products","Prodotti"
"ID","ID"
"SKU","SKU"
"No","No"
"Qty","Qtà"
"Action","Azione"
"Reset","Reset"
"Edit","Modifica"
"Add to Cart","Aggiungi al carrello"
"Images (.gif, .jpg, .png)","Immagini (.gif, .jpg, .png)"
"First Name","Nome"
"Last Name","Cognome"
"Email","Email"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[SITO WEB]"
"[STORE VIEW]","[VISTA NEGOZIO]"
"Use Default","Usa predefinito"
"Delete","Elimina"
"Save","Salva"
"Store","Negozio"
"-- Please Select --","-- Selezionare --"
"Custom Design","Design personalizzato"
"Yes","Sì"
"Web Site","Sito web"
"Name","Nome"
"Status","Status"
"Disabled","Disabilitato"
"Enabled","Abilitato"
"Save and Continue Edit","Salva e continua la modifica"
"Title","Titolo"
"Store View","Vista negozio"
"Type","Tipo"
"Home","Home"
"Search","Cerca"
"Select All","Seleziona tutto"
"Add New","Aggiungi nuovo"
"Please select items.","Selezionare un articolo."
"Required","Obbligatorio"
"Website","Sito web"
"All Websites","Tutti i siti web"
"Next","Successivo"
"Please enter a valid number in this field.","Inserire un numero valido in questo campo."
"Catalog","Catalogo"
"Images","Immagini"
"per page","per pagina"
"Mass Actions","Azioni di massa"
"Unselect All","Deseleziona tutto"
"Select Visible","Seleziona visibile"
"Unselect Visible","Deseleziona visibile"
"items selected","Articoli selezionati"
"The information in this tab has been changed.","Le informazioni in questa scheda sono state cancellate."
"This tab contains invalid data. Please solve the problem before saving.","Questa scheda contiene dati non validi. Risolvere il problema prima di salvare."
"Loading...","Caricamento..."
"OK","OK"
"Visibility","Visibilità"
"Position","Posizione"
"Fixed","Fissato"
"Use Default Value","Usa valore predefinito"
"N/A","ND"
"Percent","Percentuale"
"Option Title","Opzioni titolo"
"Input Type","Tipo di input"
"New Option","Nuova opzione"
"Price Type","Tipo di prezzo"
"* Required Fields","* Campi obbligatori"
"Availability","Disponibilità"
"In stock","Disponibile"
"Out of stock","Non disponibile"
"Excl. Tax:","Tasse escluse:"
"Incl. Tax:","Tasse incluse:"
"Root","Root"
"Save Category","Salva categoria"
"Delete Category","Elimina categoria"
"New Subcategory","Nuova sottocategoria"
"New Root Category","Nuova categoria di Root"
"Set Root Category for Store","Imposta categoria di Root per negozio"
"Use Config Settings","Utilizza impostazioni di configurazione"
"Use All Available Attributes","Utilizza tutti gli attributi disponibili"
"General Information","Informazioni generali"
"Category Data","Dati categoria"
"Category Products","Prodotti categoria"
"Add Subcategory","Aggiungi sottocategoria"
"Add Root Category","Aggiungi categoria di Root"
"Create Permanent Redirect for old URL","Creare un reindirizzamento permanente per il vecchio URL"
"Day","Giorno"
"Month","Mese"
"Year","Anno"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>da</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>a</span></label>"
"WYSIWYG Editor","Editor WYSIWYG"
"Add Product","Aggiungi prodotto"
"label","Etichetta"
"Product Attributes","Attributi prodotto"
"Add New Attribute","Aggiungi nuovo attributo"
"Save in New Attribute Set","Salva in un nuovo set attributi"
"Enter Name for New Attribute Set","Inserire il nome del nuovo set di attributi"
"Save Attribute","Salva attributo"
"Delete Attribute","Elimina attributo"
"Edit Product Attribute ""%1""","Modifica attributo prodotto ""%1"""
"New Product Attribute","Nuovo attributo prodotto"
"Advanced Attribute Properties","Proprietà attributo avanzate"
"Attribute Code","Codice attributo"
