"Entity type model must be an instance of' ' \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Tipo modello entità deve essere un\'istanza di ' ' \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","Non ci sono tipi di prodotto disponibili per l\'export"
"Entity type model must be an instance of ' 'Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType","Tipo modello entità deve essere un\'istanza di ' 'Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType"
"Invalid custom option store.","Opzione personalizzata negozio non valida"
"Invalid custom option type.","Tipo opzione personalizzata non valida."
"Empty custom option title.","Titolo opzione personalizzata vuoto."
"Invalid custom option price.","Prezzo opzione personalizzata non valido."
"Invalid custom option maximum characters value.","Valore massimo caratteri opzione personalizzata non valido"
"Invalid custom option sort order.","Ordinamento opzione personalizzata non valido."
"Invalid custom option value price.","Prezzo opzione personalizzata non valido."
"Invalid custom option value sort order.","Valore ordinamento opzione personalizzata non valido."
"Custom option with such title already declared in source file.","Un\'opzione personalizzata con lo stesso titolo è già stata dichiarata nel file sorgente."
"There are several existing custom options with such name.","Ci sono diverse opzioni personalizzate con questo nome."
"Custom options have different types.","Le opzioni personalizzate sono di diverso tipo."
"Option entity must have a parent product entity.","L\'entità opzione deve avere un\'entità prodotto parente."
"Please correct the parameters.","Correggere i parametri."
