"3D Secure Card Validation","3D Secure convalida carta"
"Validation failed.","Convalida fallita."
"3D Secure Verification Result","3D Secure Verifica sicura fallita."
"3D Secure Cardholder Validation","3D Secure Convalida titolare carta"
"3D Secure Electronic Commerce Indicator","3D Secure Indicatore commercio elettronico"
"3D Secure CAVV","3D Secure CAVV"
"3D Secure XID","3D Secure XID"
"Merchant Liability","Responsabilità commerciante"
"Card Issuer Liability","Responsabilità emittente carta"
"Enrolled","Iscritto"
"Enrolled but Authentication Unavailable","Iscritto ma autenticazione non disponibile"
"Not Enrolled","Non iscritto"
"Successful","Riuscito"
"Failed","Fallito"
"Unable to complete","Impossibile completare"
"Successful attempt","Tentativo riuscito"
"Unsupported currency code: %1.","Codice valuta non supportato: %1."
"Payment information error. Please start over.","Errore informazioni pagamento. Ricominciare da capo."
"Please verify the card with the issuer bank before placing the order.","Verificare la carta con la banca emittente prima di piazzare l\'ordine."
"This card has failed validation and cannot be used.","Questa carta non ha superato la convalida e non può essere utilizzata."
"Verification Successful","Verifica riuscita."
"Please continue with placing order.","Continua nell\'inserimento dell\'ordine."
"Verification Failed","Verifica fallita."
"The card has failed verification with the issuer bank.","La carta ha fallito la verifica con la banca emittente."
"Order cannot be placed.","L\'ordine non può essere piazzato."
"Verification cannot be processed","La verifica non può essere processata."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Sono state inserite informazioni di pagamento errate o il tempo massimo è scaduto. Riprovare"
"Card Verification","Verifica carta"
"Start/Reset Validation...","Inizia/reset convalida."
"Please verify the card with the issuer bank:","Verificare la carta con la banca emittente:"
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Sono state inserite informazioni di pagamento errate o il tempo massimo è scaduto. Riprovare"
"To ensure the security of your transactions","Per assicurare la sicurezza della tua transazione"
"Verified by Visa","Verificato da Visa"
"MasterCard SecureCode","MasterCard SecureCode"
"Password","Password"
"Test Mode","Modalità test"
"Payment Services","Servizi di pagamento"
"3D Secure Credit Card Validation","3D Secure convalida carta di credito"
"Processor ID","Processor ID"
"Merchant ID","ID commerciante"
"This overrides any API URL that may be specified by a payment method.","Questo sovrascrive qualsiasi URL API che può essere stato specificato da un metodo di pagamento."
"Debug Mode","Debug Mode"
