"Remove","Rimuovi"
"Back","Indietro"
"Price","Prezzo"
"Shopping Cart","Carrello"
"You added %1 to your shopping cart.","Hai aggiunto %1 al carrello."
"The coupon code ""%1"" is not valid.","Il codice coupon ""%1"" non è valido."
"Shopping Cart Items","Articoli nel carrello"
"Qty","Qtà"
"Subtotal","Subtotale"
"Excl. Tax","Tasse escluse"
"Total","Totale"
"Incl. Tax","Tasse incluse"
"Total incl. tax","Totale tasse incluse"
"Move to Wishlist","Sposta nella lista dei desideri"
"Edit item parameters","Modifica parametri articolo"
"Edit","Modifica"
"Remove item","Rimuovi articolo"
"Item","Articolo"
"Unit Price","Prezzo unitario"
"Loading...","Caricamento..."
"* Required Fields","* Campi obbligatori"
"Change","Modifica"
"See price before order confirmation.","Vedi prezzo prima della conferma dell\'ordine"
"What's this?","Cos'è questo?"
"1 item","1 articolo"
"%1 items","%1 articoli"
"Product Name","Nome prodotto"
"Invalid method: %1","Metodo non valido: %1"
"My Cart (1 item)","Il mio carrello (1 articolo)"
"My Cart (%1 items)","Il mio carrello (%1 articoli)"
"My Cart","Carrello"
"New Address","Nuovo indirizzo"
"Country","Paese"
"State/Province","Stato/Provincia"
"Billing Information","Informazioni di fatturazione"
"Checkout Method","Metodo checkout"
"Payment Information","Informazioni di pagamento"
"Order Review","Rivedi ordine"
"Shipping Information","Informazioni di spedizione"
"Shipping Method","Metodo di spedizione"
"Minimum order amount is %1","L\'importo minimo dell\'ordine è %1"
"We cannot add this item to your shopping cart","Non è possibile aggiungere questo articolo al tuo carrello"
"We can't find the quote item.","Impossibile trovare l'articolo citato."
"We cannot configure the product.","Impossibile configurare il prodotto."
"%1 was updated in your shopping cart.","%1 è stato aggiornato nel tuo carrello."
"We cannot update the item.","Impossibile aggiornare l\'articolo"
"We cannot update the shopping cart.","Impossibile aggiornare il carrello."
"We cannot remove the item.","Impossibile rimuovere l\'articolo."
"The coupon code ""%1"" was applied.","Il codice coupon ""%1""è stato applicato."
"The coupon code was canceled.","Il codice coupon è stato cancellato."
"We cannot apply the coupon code.","Impossibile applicare il codice coupon."
"The onepage checkout is disabled.","Il onepage checkout è disabilitato."
"Checkout","Checkout"
"Unable to set Payment Method","Impossibile impostare metodo di pagamento"
"Please agree to all the terms and conditions before placing the order.","Accetta tutti i termini e le condizioni prima di piazzare l\'ordine."
"Something went wrong processing your order. Please try again later.","Qualcosa è andato storto durante l\'elaborazione del tuo ordine. Riprova più tardi."
"We can't find the product.","Impossibile trovare il prodotto."
"The product does not exist.","Il prodotto non esiste."
"We don't have some of the products you want.","Non abbiamo alcuni dei prodotti che desideri."
"We don't have as many of some products as you want.","Non abbiamo una quantità sufficiente di alcuni dei prodotti che desideri."
"Quantity was recalculated from %1 to %2","La quantità è stata ricalcolata da %1 a %2"
"Some products quantities were recalculated because of quantity increment mismatch.","Alcune delle quantità dei prodotti sono state ricalcolate a causa di errori negli incrementi delle quantità."
"This quote item does not exist.","L\'articolo citato non esiste."
"Display number of items in cart","Mostra il numero degli articoli nel carrello"
"Display item quantities","Mostra quantità degli articoli"
"Load customer quote error","Carica errore citato cliente"
"Invalid data","Dati non validi"
"The customer address is not valid.","L\'indirizzo del cliente non è valido"
"There is already a registered customer using this email address. Please log in using this email address or enter a different email address to register your account.","È già presente un cliente con questo indirizzo email. Accedi utilizzando questo indirizzo email o inserisci un indirizzo email diverso per registrare il tuo account."
"Password and password confirmation are not equal.","Password e conferma password non coincidono"
"Invalid shipping method","Metodo di spedizione non valido"
"There are more than one shipping address.","C\'è più di un indirizzo di spedizione"
"Sorry, guest checkout is not enabled.","Il checkout come ospite non è abilitato."
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>.","È richiesta la conferma dell\'account. Contralla la tua email per il link di conferma. Per rimndare l\'email di conferma <a href=""%1"">premi qui</a>."
"Discount Codes","Codici sconto"
"Enter your code","Inserisci il tuo codice"
"Apply Coupon","Applica coupon"
"Cancel Coupon","Cancella coupon"
"Continue Shopping","Continua lo shopping"
"Update Shopping Cart","Aggiorna carrello"
"Clear Shopping Cart","Svuota carrello"
"Update Cart","Aggiorna carrello"
"Unit Price Excl. Tax","Prezzo unitario tasse escluse"
"Unit Price Incl. Tax","Prezzo unitario tasse incluse"
"Subtotal Excl. Tax","Subtotale tasse escluse"
"Subtotal Incl. Tax","Subtotale tasse escluse"
