"ID","ID"
"Action","Azione"
"Delete File","Elimina file"
"-- Please Select --","-- Seleziona --"
"Custom Design","Design personalizzato"
"Block Information","Informazioni blocco"
"Status","Status"
"Disabled","Disabilitato"
"Enabled","Abilitato"
"Save and Continue Edit","Salva e continua la modifica"
"Title","Titolo"
"URL Key","Chiave URL"
"Store View","Vista negozio"
"Description","Descrizione"
"Home","Home"
"Browse Files...","Sfoglia file..."
"Content","Contenuto"
"General Information","Informazioni generali"
"Go to Home Page","Vai alla Home Page"
"px.","px."
"Collapse All","Comprimi tutto"
"Expand All","Espandi tutto"
"Static Blocks","Blocco statico"
"Add New Block","Aggiungi nuovo blocco"
"Save Block","Salva blocco"
"Delete Block","Elimina blocco"
"Edit Block '%1'","Modifica blocco '%1'"
"New Block","Nuovo blocco"
"Block Title","Titolo blocco"
"Identifier","Identificatore"
"Manage Pages","Gestisci pagine"
"Add New Page","Aggiungi nuova pagina"
"Save Page","Salva pagina"
"Delete Page","Elimina pagina"
"Edit Page '%1'","Modifica Pagina '%1'"
"New Page","Nuova pagina"
"Content Heading","Intestazione contenuto"
"Page Layout","Layout pagina"
"Layout","Layout"
"Layout Update XML","Aggiornamento Layout XML"
"Custom Design From","Design personalizzato da"
"Custom Design To","Design personalizzato a"
"Custom Theme","Tema personalizzato"
"Custom Layout","Layout personalizzato"
"Custom Layout Update XML","Aggiornamento layout personalizzato XML"
"Design","Design"
"Page Information","Informazioni pagina"
"Page Title","Titolo pagina"
"Relative to Web Site Base URL","Relativo al base URL del sito web"
"Page Status","Status pagina"
"Meta Data","Meta Data"
"Keywords","Keywords"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"Created","Creato"
"Modified","Modificato"
"Preview","Anteprima"
"Media Storage","Archivio media"
"Create Folder...","Crea cartella..."
"Delete Folder","Elimina cartella"
"Insert File","Inserisci file"
"New Folder Name:","Nome nuova cartella:"
"Are you sure you want to delete this folder?","Sei sicuro di voler eliminare questa cartella?"
"Are you sure you want to delete this file?","Sei sicuro di voler eliminare questo file?"
"Images (%1)","Immagini (%1)"
"Storage Root","Archivio Root"
"CMS","CMS"
"Blocks","Blocchi"
"This block no longer exists.","Questo blocco non esiste più."
"Edit Block","Modifica blocco"
"The block has been saved.","Il blocco è stato salvato."
"The block has been deleted.","Il blocco è stato eliminato."
"We can't find a block to delete.","Non è possibile trovare il blocco da elimnare"
"Pages","Pagine"
"This page no longer exists.","Questa pagina non esiste più."
"Edit Page","Modifica pagina"
"The page has been saved.","La pagina è stata salvata."
"Something went wrong while saving the page.","Qualcosa è andato storto durante il salvataggio della pagina."
"The page has been deleted.","La pagina è stata eliminata."
"We can't find a page to delete.","Impossibile trovare la pagina da eliminare."
"The directory %1 is not writable by server.","La directory %1 del server non ha i permessi di scrittura."
"Make sure that static block content does not reference the block itself.","Assicurati che il contenuto del blocco statico non si riferisca al blocco stesso."
"Enabled by Default","Abilitato come predefinito"
"Disabled by Default","Disabilitato come predefinito"
"Disabled Completely","Disabilita completamente"
"A block identifier with the same properties already exists in the selected store.","Un identificatore blocco con le stesse proprietà esiste già nel negozio selezionato."
"A page URL key for specified store already exists.","Una chiave URL per la pagina esiste già nel negozio selezionato."
"The page URL key contains capital letters or disallowed symbols.","La chiave URL contiene lettere maiuscole o simboli non consentiti."
"The page URL key cannot be made of only numbers.","La chiave URL della pagina non può contenere solo numeri."
"Please correct the folder name. Use only letters, numbers, underscores and dashes.","Correggere il nome della cartella. Utilizzare solo lettere, numeri, underscore e trattini."
"We found a directory with the same name. Please try another folder name.","Una directory con lo stesso nome è stata trovata. Provare con un altro nome per la cartella."
"We cannot create a new directory.","Non è possibile creare una nuova directory."
"We cannot delete directory %1.","Non è possibile eliminare la directory %1."
"We cannot upload the file.","Non è possibile caricare il file."
"We cannot delete root directory %1.","Non è possibile eliminare la directory di root %1."
"Directory %1 is not under storage root path.","La directory %1 non è nel percorso archivio root."
"No files found","Non sono stato trovati file"
"Block","Blocco"
"Template","Template"
"Anchor Custom Text","Ancora testo personalizzato"
"Anchor Custom Title","Ancora titolo personalizzato"
"CMS Home Page","CMS Home Page"
"CMS No Route Page","Pagina CMS nessun percorso"
"CMS No Cookies Page","Pagina CMS No Cookies"
"Show Breadcrumbs for CMS Pages","Mostra le Breadcrumbs per le pagine CMS"
"Browser Capabilities Detection","Capacità rivelazione browser"
"Redirect to CMS-page if Cookies are Disabled","Reindirizza su una pagina CMS se i cookie sono disabilitati"
"Show Notice if JavaScript is Disabled","Mostra notifica se JavaScript è disabilitato"
"Show Notice if Local Storage is Disabled","Mostra notifica se l\'archivio locale è disabilitato"
"Content Management","Gestione contenuti"
"WYSIWYG Options","Opzioni WYSIWYG"
"Enable WYSIWYG Editor","Abilita editor WYSIWYG"
"CMS Page Link","Link Pagine CMS"
"Link to a CMS Page","Linka ad una pagina CMS"
"CMS Page","Pagina CMS"
"If empty, the Page Title will be used","Se vuoto verrà utilizzato il titolo della pagina"
"CMS Page Link Block Template","Pagina CMS link template blocco"
"CMS Page Link Inline Template","Pagina CMS link inline template"
"CMS Static Block","Blocco statico CMS"
"Contents of a Static Block","Contenuto di un blocco statico"
"CMS Static Block Default Template","Template predefinito Blocco statico CMS"
