"Cancel","Cancella"
"Price","Prezzo"
"Quantity","Quantità"
"ID","ID"
"SKU","SKU"
"Qty","Qtà"
"Incl. Tax","Tasse incluse"
"Use Default","Usa predefinito"
"Delete","Elimina"
"Name","Nome"
"Add Option","Aggiungi opzione"
"Stock Availability","Disponibilità"
"In Stock","Disponibile"
"Out of Stock","Non disponibile"
"Image","Immagine"
"Use To Create Configurable Product","Utilizza per creare un prodotto configurabile"
"Create Empty","Crea vuoto"
"Generate Variations","Genera varianti"
"Create New Variation Set","Crea un nuovo set di variazioni"
"Associated Products","Prodotti associati"
"Quick simple product creation","Creazione veloce prodotto"
"Autogenerate","Autogenera"
"Select Configurable Attributes","Seleziona attributi configurabile"
"Configurable Product Settings","Impostazioni prodotto configurabile"
"Choose an Option...","Scegli un\'opzione..."
"This attribute is used in configurable products.","Questo attributo è utilizzato nei prodotti configurabili."
"Cannot add the item to shopping cart","Impossibile aggiungere il prodotto al carrello."
"Please specify the product's option(s).","Specificare le opzioni del prodotto/i."
"Some product variations fields are not valid.","Alcuni campi delle varianti del prodotto non sono validi."
"This group contains attributes used in configurable products. Please move these attributes to another group and try again.","Questo gruppo contiente attributi utilizzati nei prodotti configurabili. Spostare questi attributi in un altro gruppo e riprovare."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Questo attributo è utilizzato nei prodotti configurabili. Non è possibile rimuoverlo dal set di attributi."
"Delete Variations Group","Elimina gruppo varianti"
"Sort Variations","Ordina varianti"
"Variation Label","Etichetta variante"
"Label","Etichetta"
"Change Price","Modifica prezzo"
"Include","Include"
"%","%"
"begin typing to add value","Inizia a digitare per aggiungere un valore"
"Variations","Varianti"
"Current Variations","Varianti correnti"
"Display","Mostra"
"Weight","Peso"
"Upload Image","Carica immagine"
"Choose","Scegli"
"Select","Seleziona"
"No Image","Nessuna immagine"
"Attribute set comprising all selected configurable attributes need to be in order to save generated variations.","Per poter generare le varianti il set di attributi deve comprendere tutti gli attributi configurabili selezionati."
"Add configurable attributes to the current set (""<span data-role=""name-container"">%1</span>"")","Aggiungi attributi configurabili al set corrente (""<span data-role=""name-container"">%1</span>"")"
"Add configurable attributes to the new set based on current","Aggiungi attributi configurabili al nuovo set basato su quello corrente"
"New attribute set name","Nome nuovo set di attributi"
"Choose Affected Attribute Set","Scegliere il set di attributi influenzato"
"Confirm","Conferma"
"File extension not known or unsupported type.","Estensione file non conosciuta o non supportata."
"Configurable Product Image","Immagine prodotto configurabile"
