"Email","Email"
"Name","Nome"
"Submit","Invia"
"* Required Fields","* Campi obbligatori"
"Telephone","Telefono"
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Grazie per averci contattato. Ti risponderemo al più presto."
"We can't process your request right now. Sorry, that's all we know.","Al momento non siamo in grado di elaborare la tua richiesta. Ci dispiace, è tutto quello che sappiamo."
"Contact Information","Informazioni di contatto"
"Comment","Commento"
"Email Template","Template email"
"Contacts","Contatti"
"Contact Us","Contattaci"
"Enable Contact Us","Abilita Contattaci"
"Email Options","Opzioni email"
"Send Emails To","Invia email a"
"Email Sender","Mittente email"
