"Configuration","Configurazione"
"-- Please Select --","-- Selezionare --"
"Custom Variables","Variabili personalizzate"
"Requested resource not found","Risorsa richiesta non trovata"
"File %1 does not exist","Il file %1 non esiste"
"File %1 is not readable","Il file %1 non è leggibile"
"Invalid regular expression: ""%1"".","Espressione regolare non valida: ""%1""."
"database ""%1""","database ""%1"""
"Parent directory does not exist: %1","La directory parente non esiste: %1"
"File system","File system"
"Unable to save file ""%1"" at ""%2""","Impossibile salvare il file ""%1"" in ""%2"""
"Wrong file info format","Informazioni formato errate"
"Path ""%value%"" is protected and cannot be used.","Il percorso ""%value%"" è protetto e non può essere utilizzato."
"Path ""%value%"" is not available and cannot be used.","Il percorso ""%value%"" non è disponibile e non può essere utilizzato."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\"").","Il percorso ""%value%"" potrebbe non includere il traversal della directory (""../"", ""..\"")."
"Please set available and/or protected paths list(s) before validation.","Impostare lista/e percorsi disponibili e/o protetti prima della convalida."
"File with an extension ""%value%"" is protected and cannot be uploaded","il file con estensione ""%value%"" è protetto e non può essere caricato"
"Helper arguments should not be used in custom layout updates.","Gli argomenti dell\'Helper non dovrebbero essere utilizzati negli aggiornamenti dei layout personalizzati."
"Updater model should not be used in custom layout updates.","Il modello updater non dovrebbe essere utilizzato negli aggiornamenti dei layout personalizzati."
"Please correct the XML data and try again. %value%","Correggere i dati XML e riprovare. %value%"
"Start date cannot be greater than end date.","La data di inizio non può essere successiva alla data di fine."
"Your design change for the specified store intersects with another one, please specify another date range.","Le modifiche al design per il negozio specificato si intersecano con quelle di un altro negozio, specificare un altro intervallo di date."
"Unable to create directory: %1","Impossibile creare la directory: %1"
"Unable to save file: %1","Impossibile salvare il file: %1"
"Copy","Copia"
"Theme isn't deletable.","Il tema non è eliminabile."
"Circular-reference in theme inheritance detected for ""%1""","Rilevato riferimento circolare ereditato dal tema per ""%1"""
"Variable Code must be unique.","Il codice variabile deve essere univoco."
"Validation has failed.","Convalida fallita."
"%1","%1"
"Insert Variable...","Inserire variabile.."
"System(config.xml, local.xml) and modules configuration files(config.xml).","File di istema(config.xml, local.xml) e di configurazione moduli(config.xml)."
"Layouts","Layouts"
"Layout building instructions.","Istruzioni costruzione layout."
"Blocks HTML output","Output blocchi HTML."
"Page blocks HTML.","Pagine blocchi HTML."
"View files fallback","Vedere file alternativi"
"Paths to view files (e.g., PHTML templates, images, CSS, JS files).","Percorso per visualizzare file (e.g., PHTML templates, images, CSS, JS files)."
"View files pre-processing","Pre-elaborazione visualizzazione file."
"Paths to pre-processed view files (e.g, CSS files with fixed paths or generated from LESS files).","Percorso visualizzazione file pre-elaborati (es., i file CSS con percorsi fissi o generati da file LESS)."
"Collections Data","Collezioni dati"
"Collection data files.","Collezione file dati."
