"We can't save the cron expression.","Non è possibile salvare l'espressione cron."
"Daily","Giornalmente"
"Weekly","Settimanalmente"
"Monthly","Mensilmente"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Compiti programmati) - tutti i tempo sono in minuti"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Per la corretta generazione edgli URL durante cron assicurarsi che in Web > Sicuro e non sicuro URL di base siano impostati esplicitamente."
"Cron configuration options for group: ","Opzioni configurazione cron per gruppo:"
"Generate Schedules Every","Genera pianificazioni ogni"
"Schedule Ahead for","Programma prima per"
"Missed if Not Run Within","Perso se non eseguito entro"
"History Cleanup Every","Pulisci cronologia ogni"
"Success History Lifetime","Durata cronologia riusciti"
"Failure History Lifetime","Durata cronologia falliti"
"Use Separate Process","Utilizza processi separati"
