"All","Tutto"
"Cancel","Cancella"
"Create Order","Crea ordine"
"Back","Indietro"
"Product","Prodotto"
"Price","Prezzo"
"Quantity","Quantità"
"ID","ID"
"SKU","SKU"
"Configure","Configura"
"Customers","Clienti"
"Shopping Cart","Carrello"
"No","No"
"Qty","Qtà"
"Action","Azione"
"Total","Totale"
"No item specified.","Nessun articolo specificato."
"Are you sure that you want to remove this item?","Sei sicuro di voler rimuovere questo articolo?"
"Edit","Modifica"
"Orders","Ordini"
"New Customers","Nuovi clienti"
"Customer","Cliente"
"Grand Total","Totale"
"Lifetime Sales","Vendite dall'inizio dell'attività"
"All Store Views","Tutte le viste negozio"
"My Account","Il mio account"
"Account Information","Informazioni account"
"First Name","Nome"
"Last Name","Cognome"
"Email","Email"
"New Password","Nuova pasword"
"Delete File","Elimina file"
"Delete","Elimina"
"Save","Salva"
"Store","Negozio"
"-- Please Select --","-- Selezionare --"
"Yes","Sì"
"Web Site","Sito web"
"Name","Nome"
"Status","Status"
"Save and Continue Edit","Salva e continua la modifica"
"Store View","Vista negozio"
"Type","Tipo"
"Submit","Invia"
"You deleted the customer.","Hai eliminato il cliente."
"IP Address","Indirizzo IP"
"Order","Ordine"
"Customer View","Visualizzazione cliente"
"Personal Information","Informazioni personali"
"View","Osserva"
"* Required Fields","* Campi obbligatori"
"Day","Giorno"
"Month","Mese"
"Year","Anno"
"label","Etichetta"
"Global","Globale"
"Change","Modifica"
"A total of %1 record(s) were updated.","Sono stati aggiornati un totale di %1 risultati."
"Customer Group","Gruppo cliente"
"End Date","Data finale"
"Customer Groups","Gruppi cliente"
"Country","Paese"
"State/Province","Stato/Provincia"
"Please select region, state or province","Selezionare regione, stato o provincia."
"City","Città"
"Zip/Postal Code","Codice postale"
"Email Address","Indirizzo email"
"Company","Azienda"
"VAT Number","Numero P.IVA"
"Address","Indirizzo"
"Street Address","Indirizzo"
"Street Address %1","Indirizzo %1"
"Telephone","Numero di telefono"
"Fax","Fax"
"Password","Password"
"Confirm Password","Conferma password"
"Login","Accedi"
"Forgot Your Password?","Hai dimenticato la password?"
"Register","Registra"
"Billing Address","Indirizzo di fatturazione"
"Shipping Address","Indirizzo di spedizione"
"Contact Information","Informazioni di contatto"
"Log Out","Disconnettiti"
"Log In","Accedi"
"You subscribe to our newsletter.","Ti sei iscritto alla nostra newsletter."
"You are currently not subscribed to our newsletter.","Al momento non sei iscritto alla nostra newsletter."
"You have not set a default shipping address.","Non hai impostato un indirizzo di spedizione predefinito."
"You have not set a default billing address.","Non hai impostato un indirizzo di fatturazione predefinito."
"Address Book","Rubrica"
"Edit Address","Modifica indirizzo"
"Add New Address","Aggiungi un nuovo indirizzo"
"region","Regione"
"Add New Customer","Aggiungi un nuovo cliente"
"Save Customer","Salva cliente"
"Delete Customer","Elimina cliente"
"Reset Password","Reset Password"
"New Customer","Nuovo cliente"
"or ","o"
" Send auto-generated password"," Inva una password auto-generata"
"Please select","Selezionare"
"Send Welcome Email","Invia email di benvenuto"
"Send From","Invia da"
"Send Welcome Email after Confirmation","Invia email di benvenuto dopo la conferma"
"Delete Address","Elimina indirizzo"
"Edit Customer's Address","Modifica indirizzo cliente"
"Shopping Cart from %1","Carrello da %1"
"Newsletter Information","Informazioni newsletter"
"Subscribed to Newsletter","Iscritto alla newsletter"
"Last Date Subscribed","Ultima data iscrizione"
"Last Date Unsubscribed","Ultima data disiscrizione"
"No Newsletter Found","Nessuna newsletter trovata"
"Start date","Data di inizio"
"Receive Date","Data ricezione"
"Subject","Oggetto"
"Sent","Inviata"
"Not Sent","Non inviata"
"Sending","Invio in corso"
"Paused","Messo in pausa"
"Unknown","Sconosciuto"
"Purchase Date","Data di acquisto"
"Bill-to Name","Fattura a nome di"
"Ship-to Name","Spedisci al nome"
"Order Total","Totale ordine"
"Purchase Point","Punto di acquisto"
"Never","Mai"
"Offline","Offline"
"Confirmed","Confermato"
"Confirmation Required","Conferma obbligatoria"
"Confirmation Not Required","Conferma non obbligatoria"
"Indeterminate","Indeterminato"
"The customer does not have default billing address.","Il cliente non ha un indirizzo di fatturazione predefinito."
"Recent Orders","Ordini recenti."
"Shopping Cart - %1 item(s)","Carrello - %1 articolo/i"
"Shopping Cart of %1 - %2 item(s)","Carrello di %1 - %2 articolo/i"
"Wishlist - %1 item(s)","Lista dei desideri - %1 articolo/i"
"There are no items in customer's shopping cart at the moment","Al momento non ci sono articoli nel carrello del cliente"
"Shipped-to Name","Spedito a nome di"
"Deleted Stores","Negozi eliminati"
"There are no items in customer's wishlist at the moment","Al momento non ci sono articoli nella lista desideri del cliente"
"Add Locale","Aggiungi locale"
"Add Date","Aggiungi data"
"Days in Wish List","Giorni nella lista dei desideri"
"Customer Information","Informazioni cliente"
"Addresses","Indirizzi"
"Wishlist","Lista dei desideri"
"Newsletter","Newsletter"
"Product Reviews","Recensioni prodotto"
"Download","Download"
"Delete Image","Elimina immagine"
"View Full Size","Vedi alla dimensione massima"
"All countries","Tutti i paesi"
"Add New Customer Group","Aggiungi nuovo gruppo cliente"
"Save Customer Group","Salva gruppo cliente"
"Delete Customer Group","Elimina gruppo cliente"
"New Customer Group","Nuovo gruppo cliente"
"Edit Customer Group ""%1""","Modifica gruppo cliente ""%1"""
"Group Information","Informazioni gruppo"
"Group Name","Nome gruppo"
"Maximum length must be less then %1 symbols","La lunghezza massima deve essere inferiore a %1 simboli"
"Tax Class","Classe tassa"
"Customers Only","Solo clienti"
"Visitors Only","Solo visitatori"
"Visitor","Visitatore"
"The customer is currently assigned to Customer Group %s.","Il cliente è attualmente nel gruppo cliente %s."
"Would you like to change the Customer Group for this order?","Vuoi cambiare il gruppo cliente per questo ordine?"
"The VAT ID is valid. The current Customer Group will be used.","Il numero di partita IVA non è valido. Verrà utilizzato il gruppo cliente attuale."
"Based on the VAT ID, ' 'the customer would belong to the Customer Group %s.","Basato sul numero di partita IVA, ' 'il cliente apparterrà al gruppo cliente %s."
"The VAT ID entered (%s) is not a valid VAT ID. ' 'The customer would belong to Customer Group %s.","Il numero di partita IVA inserito (%s) non è valido. ' 'Il cliente apparterrà al gruppo cliente %s."
"There was an error validating the VAT ID. ' 'The customer would belong to Customer Group %s.","Si è verificato un errore durante la convalida del numero di partita IVA. ' 'Il ciente apparterrà al gruppo cliente %s."
"There was an error validating the VAT ID.","Si è verificato un errore durante la convalida del numero di partita IVA."
"Validate VAT Number","Convalida numero di partita IVA"
"Customer Login","Accesso cliente"
"Create New Customer Account","Crea un nuovo account cliente"
"This account is not confirmed.' ' <a href=""%1"">Click here</a> to resend confirmation email.","Questo account non è stato confermato.' ' <a href=""%1"">Clicca qui/a> per inviare una nuova email di conferma."
"Invalid login or password.","Password o login errato."
"There was an error validating the login and password.","Si è verificato un errore durante la convalida della password o del login."
"Login and password are required.","Login e password sono obbligatori."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%1"">click here</a>.","La conferma dell\'account è obbligatoria. Controlla la tua email per il link di conferma. Per una nuova email di conferma <a href=""%1"">clicca qui</a>."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","È già presente un account con questo indirizzo email. Se sei sicuro che sia il tuo indirizzo email, <a href=""%1"">clicca qui</a> per ottenere la password e accedere al tuo account."
"Cannot save the customer.","Impossibile salvare il cliente."
"Thank you for registering with %1.","Grazie per esserti registrato con %1."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you shipping address for proper VAT calculation","Se sei un cliente registrato con P.IVA clicca <a href=""%1"">qui</a> per inserire il tuo indirizzo di spedizione per ottenere il corretto calcolo dell\'IVA"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you billing address for proper VAT calculation","Se sei un cliente registrato con P.IVA clicca <a href=""%1"">qui</a> per inserire il tuo indirizzo di fatturazione per il calcolo corretto dell\'IVA"
"Bad request.","Richiesta errata."
"This confirmation key is invalid or has expired.","Questa chiave di conferma non è valida o è scaduta."
"There was an error confirming the account","Si è verificato un errore durante la convalida dell\'account."
"Please, check your email for confirmation key.","Controlla la tua email per la chiave di conferma."
"This email does not require confirmation.","Questa email non richiede conferma."
"Wrong email.","Email errata."
"Please correct the email address.","Correggere l\'indirizzo email."
"Unable to send password reset email.","Impossibile inviare l\'email per il reset della password."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Se è presente un account associato a %1 riceverai un\'email con un link per il reset della password."
"Please enter your email.","Inserisci il tuo indirizzo emal."
"Your password reset link has expired.","Il link per il reset della password è scaduto."
"New Password and Confirm New Password values didn't match.","Nuova password e conferma password non coincidono."
"New password field cannot be empty.","Il campo nuova password non può essere vuoto."
"Your password has been updated.","La tua password è stata aggiornata."
"There was an error saving the new password.","Si è verificato un errore durante il salvataggio della nuova password."
"A problem was encountered trying to change password.","Si è verificato un errore durante il cambio della password."
"Confirm your new password","Conferma la tua nuova password"
"Invalid input","Input non valido"
"The account information has been saved.","Le informazioni dell\'account sono state salvate."
"The address has been saved.","L\'indirizzo è stato salvato."
"Cannot save address.","Impossibile salvare l\'indirizzo."
"The address has been deleted.","L\'indirizzo è stato eliminato."
"An error occurred while deleting the address.","Si è verificato un errore durante la cancellazione dell\'indirizzo."
"No customer ID defined.","Non è stato definito nessun ID cliente."
"Please correct the quote items and try again.","Correggere gli articoli citati e riprovare."
"New Group","Nuovo gruppo"
"New Customer Groups","Nuovi Gruppi cliente"
"Edit Group","Modifica gruppo"
"Edit Customer Groups","Modifica gruppi cliente"
"The customer group has been saved.","Il gruppo cliente è stato salvato."
"The customer group has been deleted.","Il gruppo cliente è stato eliminato."
"The customer group no longer exists.","Il gruppo cliente non esiste più."
"Manage Customers","Gestisci clienti"
"An error occurred while editing the customer.","Si è verificato un errore durante la modifica del cliente."
"You saved the customer.","Il cliente è stato salvato."
"An error occurred while saving the customer.","Si è verificato un errore durante il salvataggio del cliente."
"Customer will receive an email with a link to reset password.","Il cliente riceverà un\'email con un link per il reset della password."
"An error occurred while resetting customer password.","Si è verificato un errore durante il reset della password del cliente."
"A total of %1 record(s) were deleted.","Sono stati eliminati un totale di %1 risultati."
"Please select customer(s).","Selezionare cliente/i."
"No wishlist item ID is defined.","Non è stato definito nessun ID per la lista dei desideri."
"Please load the wish list item.","Carica la lista dei desideri."
"PHP SOAP extension is required.","Estensione PHP SOAP richiesta."
"Please enter the first name.","Inserire il nome."
"Please enter the last name.","Inserire il cognome."
"Please enter the street.","Inserire l\'indirizzo."
"Please enter the city.","Inserire la città."
"Please enter the telephone number.","Inserire il numero di telefono."
"Please enter the zip/postal code.","Inserire il codice postale."
"Please enter the country.","Inserire il paese."
"Please enter the state/province.","Inserire lo stato/provincia."
"Per Website","Per sito web"
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Impossibile condividere gli account cliente globalmente perché alcuni account cliente con la stessa email esistno in più siti web e non possono essere uniti."
"This account is not confirmed.","Questo account non è stato confermato."
"Wrong transactional account email type","Tipo account email transazionale errato."
"The first name cannot be empty.","Il nome non può essere vuoto."
"The last name cannot be empty.","Il cognome non può essere vuoto."
"Please correct this email address: ""%1"".","Correggere l\'indirizzo email: ""%1""."
"The Date of Birth is required.","La data di nascita è un campo obbligatorio."
"The TAX/VAT number is required.","Il numero di Partita IVA è un campo obbligatorio."
"Gender is required.","Il sesso è un campo obbligatorio."
"Invalid password reset token.","Token reset password non valido."
"The password must have at least %1 characters.","La password deve avere almeno %1 caratteri."
"The password can not begin or end with a space.","La password non può iniziare o finire con uno spazio"
"Admin","Admin"
"Attribute object is undefined","Attributo oggetto non definito"
"""%1"" invalid type entered.","""%1"" inserito tipo non valido."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contiene caratteri non alfabetici o non numerici."
"""%1"" is an empty string.","""%1"" è una stringa vuota."
"""%1"" contains non-numeric characters.","""%1"" contiene caratteri non numerici."
"""%1"" contains non-alphabetic characters.","""%1"" contiene caratteri non alfabetici."
"""%1"" is not a valid email address.","""%1"" non è un indirizzo email valido."
"""%1"" is not a valid hostname.","""%1"" non è un hostname valido"
"""%1"" exceeds the allowed length.","""%1"" supera la lunghezza consentita."
"'%value%' appears to be an IP address, but IP addresses are not allowed.","'%value%' sembra essere un indirizzo IP, ma gli indirizzi IP non sono consentiti."
"'%value%' appears to be a DNS hostname but cannot match TLD against known list.","'%value%' sembra essere un hostname DNS ma TLD non coincide con la lista conosciuta."
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position.","'%value%' sembra essere un hostname DNS ma contiene un trattino in una posizione non valida."
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'.","'%value%' sembra essere un hostname DNS ma non coincide con lo schema hostname per TLD '%tld%'."
"'%value%' appears to be a DNS hostname but cannot extract TLD part.","'%value%' sembra essere un hostname DNS ma non è possibile estrarre la parte TLD."
"'%value%' does not appear to be a valid local network name.","'%value%' non sembra essere un nome valido per una rete locale."
"'%value%' appears to be a local network name but local network names are not allowed.","'%value%' sembra essere il nome di una rete locale, ma i nomi delle reti locali non sono ammessi."
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded.","'%value%' sembra essere un hostname DNS ma la notazione punycode fornita non può essere decodificata."
"""%1"" is not a valid URL.","""%1"" non è un URL valido."
"""%1"" is not a valid date.","""%1"" non è una data valida."
"""%1"" does not fit the entered date format.","""%1"" non corrisponde al formato data inserito."
"""%1"" is a required value.","""%1"" è un valore obbligatorio."
"Please enter a valid date between %1 and %2 at %3.","Inserire una data valida tra %1 e %2 a %3."
"Please enter a valid date equal to or greater than %1 at %2.","Inserire una data valida maggiore od uguale di %1 a %2."
"Please enter a valid date less than or equal to %1 at %2.","Inserire una data valida minore o uguale a %1 a %2."
"""%1"" is not a valid file extension.","""%1"" non è un\'estensione file valida."
"""%1"" is not a valid file.","""%1"" non è un file valido."
"""%1"" exceeds the allowed file size.","""%1"" supera la dimensione file consentita."
"""%1"" is not a valid image format.","""%1"" non è un formato immagine valido."
"""%1"" width exceeds allowed value of %2 px.","""%1"" la larghezza supera il valore consentito di %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" l\'altezza supera il valore consentito di %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" la lunghezza deve essere uguale o maggiore di %2 caratteri."
"""%1"" length must be equal or less than %2 characters.","""%1"" la lunghezza deve essere uguale o minore di %2 caratteri"
"Customer email is required","Email cliente è un campo obbligatorio"
"Customer with the same email already exists in associated website.","Un cliente con lo stesso indirizzo email esiste già nel sito web associato."
"Customer website ID must be specified when using the website scope","L\'ID del cliente per il sito web deve essere specificato quando si usa l\'ambito del sito web"
"The group ""%1"" cannot be deleted","Il gruppo ""%1"" non può essere eliminato"
"Password doesn't match for this account.","La password non coincide per questo account"
"Customer Group already exists.","Il gruppo cliente esiste già"
"VAT Number is Invalid","Il numero di P.IVA non è valido"
"VAT Number is Valid","Il numero di P.IVA è valido"
"Customer Addresses","Indirizzi cliente"
"Are you sure you want to delete this address?","Sei sicuro di voler eliminare questo indirizzo?"
"Set as Default Billing Address","Imposta come indirizzo di fatturazione predefinito"
"Default Billing Address","Indirizzo di fatturazione predefinito"
"Set as Default Shipping Address","Imposta come indirizzo di spedizione predefinito"
"Default Shipping Address","Indirizzo di spedizione predefinito"
"New Customer Address","Nuovo indirizzo cliente"
"Last Logged In:","Ultimo accesso:"
"Last Logged In (%1):","Ultimo accesso (%1):"
"Confirmed email:","Email confermata:"
"Account Created on:","Account creato su:"
"Account Created on (%1):","Account creato su (%1):"
"Account Created in:","Account creato il:"
"Customer Group:","Gruppo cliente:"
"Sales Statistics","Statistiche vendite"
"Average Sale","Vendite medie"
"Manage Addresses","Gestisci indirizzi"
"Hello, %1!","Ciao, %1!"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Dal pannello di controllo del tuo account puoi avere una panoramica delle recenti attività e aggiornare le informazioni del tuo account. Scegli uno tra i link di seguito per visualizzare o modificare le informazioni."
"Change Password","Modifica password"
"Newsletters","Newsletters"
"You are currently subscribed to 'General Subscription'.","Attualmente sei iscritto a “Iscrizione generale”"
"You are currently not subscribed to any newsletter.","Non sei attualmente iscritto a nessuna newsletter."
"Default Addresses","Indirizzi predefiniti"
"Change Billing Address","Cambia indirizzo di fatturazione"
"You have no default billing address in your address book.","Nella tua rubrica non hai nessun indirizzo di fatturazione predefinito."
"Change Shipping Address","Modifica indirizzo di spedizione"
"You have no default shipping address in your address book.","Nella tua rubrica non hai nessun indirizzo di spedizione predefinito."
"Additional Address Entries","Voci aggiuntive indirizzo"
"You have no additional address entries in your address book.","Non ci sono altri indirizzi nella tua rubrica"
