"Remove","Rimuovi"
"Cancel","Cancella"
"Back","Indietro"
"No","No"
"Edit","Modifica"
"Delete File","Elimina file"
"Delete","Elimina"
"Save","Salva"
"Yes","Sì"
"Error","Errore"
"title","Titolo"
"Magento Admin Panel","Pannello amministrazione Magento"
"Please wait...","Attendere prego..."
"Loading...","Caricamento..."
"OK","OK"
"Collapse All","Comprimi tutto"
"Expand All","Espandi tutto"
"Delete Folder","Elimina cartella"
"New Folder Name:","Nome nuova cartella:"
"Are you sure you want to delete this folder?","Sei sicuro di voler eliminare questa cartella?"
"Are you sure you want to delete this file?","Sei sicuro di voler eliminare questo file?"
"Folder","Cartella"
"Store Designer","Designer negozio"
"Element ""%1"" is not found in ""%2"".","Elemento ""%1"" non trovato in ""%2""."
"Component of the type ""%1"" is not found between elements of ""%2""","Elemento del tipo ""%1"" non trovato tra gli elementi di ""%2"""
"Restore last saved version of theme","Ripristina l\'ultima versione del tema salvata"
"Restore theme defaults","Ripristina impostazioni predefinite tema"
"Do you want to restore the version saved at %1?","Vuoi ripristinare la versione salvata a %1?"
"Restore Theme Version","Ripristina versione tema"
"Do you want to restore the theme defaults?","Vuoi ripristinare le impostazioni predefinite del tema?"
"Restore Theme Defaults","Ripristina impostazioni predefinite tema"
"Assign","Assegna"
"Save & Assign","Salva & assegna"
"You changed the design of your live store. Are you sure you want to do that?","Hai cambiato il design del negozio in funzione. Sei sicuro di volerlo fare?"
"Are you sure you want to change the theme of your live store?","Sei sicuro di voler cambiare il tema del tuo negozio in funzione?"
"Are you sure you want this theme to replace your current theme?","Sei sicuro di voler utilizzare questo tema al posto del tema corrente?"
"Do you want to use this theme in your live store?","Sei sicuro di voler usare questo tema nel tuo negozio in funzione?"
"Quick Styles","Stili veloci"
"Block","Blocco"
"Settings","Impostazioni"
"Advanced","Avanzate"
"CSS","CSS"
"JS","JS"
"Custom CSS","CSS personalizzato"
"Image Sizing","Dimensionamento immagine"
"Sorry, but you cannot resize images for this theme.","Non puoi ridimensionare le immagini per questo tema."
