"None","Nessuno"
"Sort Order","Ordinamento"
"Title","Ora"
"Password","Password"
"This allows breaking total order weight into smaller pieces if it exceeds %1 %2 to ensure accurate calculation of shipping charges.","Permette di dividere il peso totale dell\'ordine in pezzi più piccoli se supera %1 %2 per assicurare un accurato calcolo delle spese di spedizione."
"Wrong Content Type","Tipo contenuto errato"
"Pounds","libbre"
"Kilograms","Kilogrammi"
"Inches","Pollici"
"Centimeters","Centimetri"
"inch","pollice"
"cm","cm"
"Height","Altezza"
"Depth","Profondità"
"Width","Larghezza"
"Regular","Regolare"
"Specific","Specifico"
"Easy shop","Acquisto semplice"
"Sprintline","Sprintline"
"Secureline","Secureline"
"Express easy","Corriere semplice"
"Europack","Europack"
"Break bulk express","Break bulk express"
"Medical express","Corriere medico"
"Express worldwide","Corriere internazionale"
"Express 9:00","Corriere 9:00"
"Express 10:30","Corriere 10:30"
"Domestic economy select","Selezionata economia domestica"
"Economy select","Selezionata economica"
"Break bulk economy","Break bulk economy"
"Domestic express","Corriere domestico"
"Others","Altri"
"Globalmail business","Globalmail business"
"Same day","Stesso giorno"
"Express 12:00","Corriere 12:00"
"Express envelope","Busta corriere"
"Customer services","Servizi al cliente"
"Jetline","Jetline"
"Freight worldwide","Freight worldwide"
"Jumbo box","Jumbo box"
"DHL service is not available at %s date","Il servizio DHL non è disponibile nella data %s"
"The response is in wrong format.","Il responso è in un formato errato"
"Error #%1 : %2","Errore #%1 : %2"
"We had to skip DHL method %1 because we couldn't find exchange rate %2 (Base Currency).","Abbiamo saltato il metodo DHL %1 perché non siamo stati in grado di trovare i tassi di cambio %2 (Valuta di base)."
"Zero shipping charge for '%1'","Costo spedizione Zero per '%1'"
"DHL","DHL"
"Cannot identify measure unit for %1","Impossibile identificare unità di misura per %1"
"Cannot identify weight unit for %1","Impossibile identificare unità di misura peso per %1"
"There is no items in this order","Non ci sono articoli in questo ordine"
"Please, specify origin country","Specificare paese di origine"
"Documents","Documenti"
"Non Documents","Non i documenti"
"Height, width and length should be equal or greater than %1","Altezza, larghezza e lunghezza devono essere maggiori o uguali a %1"
"Wrong Region","Regione errata"
"Unable to retrieve tracking","Impossibile recuperare codice tracciamento"
"Response is in the wrong format","Il responso è in un formato errato"
"No packages for request","Nessun pacchetto per richiesta"
"Non documents","Non i documenti"
"Size","Dimensione"
"Debug","Debug"
"Gateway URL","Gateway URL"
"Enabled for Checkout","Abilitato per il checkout"
"Access ID","ID di accesso"
"Account Number","Numero account"
"Content Type","Tipo contenuto"
"Calculate Handling Fee","Calcola tassa di gestione"
"Handling Applied","Gestione applicata"
"""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package.","""Per ordine"" applica una singola tassa di gestione per l\'intero ordine. ""Per pacchetto"" applica una tassa di gestione per ogni pacchetto."
"Handling Fee","Tassa di gestione"
"Divide Order Weight","Dividi peso ordine"
"This allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Consente di dividere il peso totale dell\'ordine in pezzi più piccoli se supera 70 kg per assicurare il giusto calcolo dei costi di spedizione."
"Weight Unit","Unità di misura peso"
"Allowed Methods","Metodi consentiti"
"Displayed Error Message","Messaggio di errore visualizzato"
"Free Method","Metodo gratis"
"Free Shipping Amount Threshold","Soglia importo per spedizione gratis"
"Ship to Applicable Countries","Spedisci ai paesi per il quale è applicabile"
"Ship to Specific Countries","Spedisci a paesi specifici"
"Show Method if Not Applicable","Mostra metodo se non applicabile"
