"Back","Indietro"
"Price","Prezzo"
"SKU","SKU"
"Qty","Qtà"
"Excl. Tax","Tasse escluse"
"Total","Totale"
"Incl. Tax","Tasse incluse"
"Total incl. tax","Totale tasse incluse"
"Move to Wishlist","Sposta nella lista dei desideri"
"File","File"
"Edit item parameters","Modifica parametri articolo"
"Edit","Modifica"
"Remove item","Rimuovi articolo"
"All Files","Tutti i file"
"[GLOBAL]","[GLOBALE]"
"[STORE VIEW]","[VISTA NEGOZIO]"
"Delete","Elimina"
"Status","Status"
"Sort Order","Ordinamento"
"Title","Titolo"
"Browse Files...","Sfoglia file..."
"Use Default Value","Usa valore predefinito"
"Ordered","Ordinato"
"Invoiced","Fatturato"
"Shipped","Spedito"
"Refunded","Rimborsato"
"Canceled","Cancellato"
"From:","Da:"
"To:","A:"
"Availability","Disponibilità"
"In stock","Disponibile"
"Out of stock","Non disponibile"
"Gift Message","Messaggio regalo"
"Message:","Messaggio:"
"Add New Row","Aggiungi nuova riga"
"See price before order confirmation.","Visualizza prezzo prima della conferma dell\'ordine."
"What's this?","Cos'è questo?"
"Unit Price Excl. Tax","Unità prezzo tasse escluse"
"Unit Price Incl. Tax","Unità prezzo tasse incluse"
"Subtotal Excl. Tax","Subtotale tasse escluse"
"Subtotal Incl. Tax","Subtotale tasse incluse"
"Order #","Ordine #"
"Date","Data"
"Upload Files","Carica file"
"Downloadable Information","Informazioni scaricabili"
"Samples","Campione"
"Links","Links"
"Unlimited","Illimitato"
"Something went wrong while getting the requested content.","Qualcosa è andato storto durante il recupero del contenuto richiesto."
"My Downloadable Products","I miei prodotti scaricabili."
"Sorry, there was an error getting requested content. Please contact the store owner.","Si è verificato un errore durante il recupero del contenuto richiesto. Contattare l\'amministratore del sito,"
"We can't find the link you requested.","Impossibile trovare il link richiesto."
"Please log in to download your product or purchase <a href=""%1"">%2</a>.","Accedi per scaricare il tuo prodotto o per acquistare <a href=""%1"">%2</a>."
"Please log in to download your product.","Accedi per scaricare il tuo prodotto."
"The link has expired.","Il link è scaduto."
"The link is not available.","Il link non è disponibile."
"Please set resource file and link type.","Impostare file risorsa e tipo link."
"Invalid download link type.","Tipo link scaricabile non valido"
"Something went wrong while saving the file(s).","Qualcosa è andato storto durante il salvataggio dei/l file."
"Order id cannot be null","L\'ID dell\'ordine non può essere nullo."
"Order item id cannot be null","L\'ID dell\'articolo non può essere nullo."
"Please specify product link(s).","Specificare link prodotto"
"attachment","Allegato"
"inline","inline"
"Pending","In attesa"
"sample","campione"
"Links can be purchased separately","I link possono essere acquistati separatamente."
"Max. Downloads","Numero massimo download"
"Shareable","Condivisibile"
"Sample","Campione"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'."
"U","U"
"Go to <a href=""%1"">My Downloadable Products</a>","Vai ai <a href=""%1"">Miei prodotti scaricabili</a>"
"Downloadable Products","Prodotti scaricabili"
"Remaining Downloads","Numero di download rimanenti"
"View Order","Visualizza ordine"
"Start Download","Inizia il download"
"You have not purchased any downloadable products yet.","Non hai ancora acquistato nessun prodotto scaricabile."
"download","download"
"Downloadable Product Options","Opzioni prodotti scaricabili."
"Order Item Status to Enable Downloads","Status ordine prodotto per abilitare il download"
"Default Maximum Number of Downloads","Numero di download massimi predefinito"
"Default Sample Title","Titolo campione predefinito"
"Default Link Title","Titolo link predefinito"
"Open Links in New Window","Apri i link in una nuova finestra"
"Use Content-Disposition","Utilizza disposizione contenuto"
"Disable Guest Checkout if Cart Contains Downloadable Items","Disabilita il checkout come ospite se il carrello contiene prodotti scaricabili"
"Guest checkout will only work with shareable.","Il checkout come ospite funziona solo con i condivisibili."
