"None","Nessuno"
"No","No"
"Email","Email"
"Yes","Sì"
"System","Sistema"
"Required","Obbligatorio"
"label","etichetta"
"Attribute Code","Codice attributo"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols","Per uso interno. Deve essere univoco e senza spazi. La lunghezza massima del codice attributo deve essere minore di %1 simboli"
"Default Value","Valore predefinito"
"Unique Value","Valore univoco"
"Unique Value (not shared with other products)","Valore univoco (non condiviso con altri prodotti)"
"Not shared with other products","Non condiviso con altri prodotti"
"Input Validation for Store Owner","Convalida input per il proprietario del negozio"
"The value of attribute ""%1"" must be set","Il valore dell\'attributo ""%1"" deve essere impostato"
"Multiple Select","Selezione multipla"
"Dropdown","A tendina"
"Text Field","Campo di testo"
"Text Area","Area di testo"
"Date","Data integrity: No header row found for attribute"
"Yes/No","Sì/No"
"URL","URL"
"Attribute object is undefined","Oggetto attributo non definito"
"""%1"" invalid type entered.","""%1"" tipo immesso non valido."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contiene caratteri non numerici o non alfabetici."
"""%1"" is an empty string.","""%1"" è una stringa vuota."
"""%1"" contains non-numeric characters.","""%1"" contiene caratteri non numerici."
"""%1"" contains non-alphabetic characters.","""%1"" contiene caratteri non alfabetici."
"""%1"" is not a valid email address.","""%1"" non è un indirizzo email valido."
"""%1"" is not a valid hostname.","""%1"" non è un hostname valido."
"""%1"" exceeds the allowed length.","""%1"" supera la lunghezza consentita."
"'%value%' appears to be an IP address, but IP addresses are not allowed.","'%value%' sembra essere un indirizzo IP, ma gli indirizzi IP non sono consentiti."
"'%value%' appears to be a DNS hostname but cannot match TLD against known list.","'%value%' sembra essere un hostname DNS ma non combacia TLD con le iste note."
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position.","'%value%' sembra essere un hostname DNS ma contiene un trattino in una posizione non valida."
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'.","'%value%' sembra essere un hostname DNS ma non combacia con lo schema hostname per TLD '%tld%'."
"'%value%' appears to be a DNS hostname but cannot extract TLD part.","'%value%' sembra essere un hostname DNS ma è impossibile estrarre la parte TLD."
"'%value%' does not appear to be a valid local network name.","'%value%' non sembra essere un nome di rete locale valido."
"'%value%' appears to be a local network name but local network names are not allowed.","'%value%' sembra essere il nome di una rete locale ma i nomi delle reti locali non sono ammessi."
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded.","'%value%' sembra essere un hostname DNS ma la notazione punycode non può essere decodificata."
"""%1"" is not a valid URL.","""%1"" non è un URL valido."
"""%1"" is not a valid date.","""%1"" non è una data valida."
"""%1"" does not fit the entered date format.","""%1"" non è nel formato della data inserita."
"""%1"" is a required value.","""%1"" è un campo obbligatorio."
"Please enter a valid date between %1 and %2 at %3.","Inserira una data valida tra %1 e %2 a %3."
"Please enter a valid date equal to or greater than %1 at %2.","Inserire una data valida maggiore o uguale di %1 a %2."
"Please enter a valid date less than or equal to %1 at %2.","Inseriire una data valida minore o uguale di %1 a %2."
"""%1"" is not a valid file extension.","""%1"" non è un\'estensione file valida."
"""%1"" is not a valid file.","""%1"" non è un file valido."
"""%1"" exceeds the allowed file size.","""%1"" supera la dimensione file consentita."
"""%1"" width exceeds allowed value of %2 px.","""%1"" la larghezza supera il valore di %2 px consentito."
"""%1"" height exceeds allowed value of %2 px.","""%1"" L\'altezza supera il valore di %2 px consentito."
"""%1"" length must be equal or greater than %2 characters.","""%1"" la lunghezza deve essere maggiore o uguale di %2 caratteri."
"""%1"" length must be equal or less than %2 characters.","""%1"" la lunghezza deve essere minore o uguale di %2 caratteri."
"Maximum length of attribute code must be less than %1 symbols","La lunghezza massima di un codice attributo deve essere minore di %1 simboli"
"Attribute Properties","Proprietà attributo"
"Attribute Label","Etichetta attributo"
"Catalog Input Type for Store Owner","Tipo di input catalogo per proprietario negozio"
"Values Required","Valori obbligatori"
"Decimal Number","Numero decimale"
"Integer Number","Numero intero"
"Letters","Lettere"
"Letters (a-z, A-Z) or Numbers (0-9)","Lettere (a-z, A-Z) o Numeri (0-9)"
"Input type ""%value%"" not found in the input types list.","Tipo input ""%value%"" non trovato nella lista dei tipi di input."
"Entity object is undefined","Entità oggetto non definita"
"""%1"" is not a valid file","""%1"" non è un file valido."
"""%1"" is not a valid image format","""%1"" non è un formato immagine valido."
"Invalid entity_type specified: %1","entity_type specificato non valido: %1"
"Entity is not initialized","Entità non inizializzata"
"Unknown parameter","Parametro sconosciuto"
"The attribute code '%1' is reserved by system. Please try another attribute code","Il codice attribuito '%1' è riservato per il sistema. Provare un altro codice attributo"
"Invalid default decimal value","Valore decimale predefinito non valido"
"Invalid default date","Data predefinita non valida"
"Invalid entity supplied","Entità fornita non valida"
"Invalid backend model specified: ","Modello backend specificato non valido: "
"Source model ""%1"" not found for attribute ""%2""","Fonte modello ""%1"" non trovata per attributo ""%2"""
"The value of attribute ""%1"" must be unique","Il valore dell\'attributo ""%1"" deve essere univoco"
"Invalid date","Data non valida"
"Attribute set name is empty.","Nome set attributi vuoto."
"An attribute set with the ""%1"" name already exists.","Un set di attributi con il nome ""%1"" esiste già."
"No options found.","Nessuna opzione trovata."
"Invalid entity supplied: %1","Entità fornita non valida: %1"
"Attempt to add an invalid object","Tentativo di aggiungere un oggetto non valido"
"Invalid attribute identifier for filter (%1)","Identificatore attributo non valido per il filtro (%1)"
"Invalid attribute requested: %1","Richiesto attributo non valido: %1"
"Joint field or attribute expression with this alias is already declared","Campi congiunti o espressione attributi con questo alias sono già stati dichiarati."
"Invalid alias, already exists in joint attributes","Alias non valido, esiste già in attributi congiunti."
"Invalid foreign key","Chiave esterna non valida"
"Invalid entity type","Tipo entità non valido"
"Invalid attribute type","Tipo attributo non valido"
"A joined field with this alias is already declared.","Un campo congiunto con questo alias è già stato dichiarato"
"Invalid joint fields","Campi congiunti non validi"
"A joint field with this alias (%1) is already declared.","Un campo congiunto con questo alias (%1) è già stato dichiarato."
"Data integrity: No header row found for attribute","Integrità dati: nessuna riga di intestazione trovata per l\'attributo"
"Invalid attribute name: %1","Nome attributo non valido: %1"
"Invalid character encountered in increment ID: %1","Incontrato carattere non valido in incremento ID: %1"
"Wrong entity ID","Entità ID errata"
"Wrong attribute set ID","ID set attributi errato"
"Wrong attribute group ID","ID gruppo attributi non valido"
"Default option value is not defined","Valore predefinito opzione non definito"
"Current module pathname is undefined","Nome percorso modulo corrente non definito"
"Current module EAV entity is undefined","Entità modulo EAV corrente non definita"
"Form code is not defined","Codice form non definito"
"Entity instance is not defined","Entità istanza non definita"
"Invalid form type.","Tipo form non valido"
"Invalid EAV attribute","Attributo EAV non valido"
"Attribute with the same code","Attributo con lo stesso codice"
"Frontend label is not defined","Etichetta frontend non definita"
"Form Element with the same attribute","Elemento del form con lo stesso attributo"
"Form Fieldset with the same code","Campo form con lo stesso codice"
"Form Type with the same code","Tipo form con lo stesso codice"
"The value of attribute ""%1"" is invalid","Il valore dell\'attributo ""%1"" non è valido"
"EAV types and attributes","Tipi EAV e attributi"
"Entity types declaration cache.","Cache dichiarazione tipi entità."
