"Back","Indietro"
"ID","ID"
"Action","Azione"
"Reset","Reset"
"Country","Paese"
"City","Città"
"Zip/Postal Code","Codice postale"
"Preview","Anteprima"
"%1","%1"
"Insert Variable...","Inserisci variabile..."
"Subject","Oggetto"
"Unknown","Sconosciuto"
"Updated","Aggiornato"
"Add New Template","Aggiunti nuovo template"
"Transactional Emails","Email transazionali"
"Delete Template","Elimina template"
"Convert to Plain Text","Converti in testo semplice"
"Return Html Version","Restituisci versione HTML"
"Preview Template","Anteprima template"
"Save Template","Salva template"
"Load Template","Carica template"
"Edit Email Template","Modifica template email"
"New Email Template","Nuovo template email"
"GLOBAL","GLOBALE"
"Template Information","Informazioni template"
"Used Currently For","Correntemente utilizzato per"
"Used as Default For","Utilizzato come predefinito per"
"Template Name","Nome template"
"Template Subject","Oggetto template"
"Template Content","Contenuto template"
"Template Styles","Stili template"
"Email Templates","Template email"
"Edit Template","Modifica template"
"Edit System Template","Modifica template sistema"
"New Template","Nuovo template"
"New System Template","Nuovo template di sistema"
"This email template no longer exists.","Questo template email non esiste più."
"The email template has been saved.","Il template email è stato salvato."
"The email template has been deleted.","Il template email è stato eliminato."
"The email template is currently being used.","Il template email è correntemente in uso."
"An error occurred while deleting email template data. Please review log and try again.","Si è verificato un errore durante la cancellazione dei dati del template email. Consultare i log e riprovare."
"We can't find an email template to delete.","Non è possibile trovare un template email da eliminare."
"An error occurred. The email template can not be opened for preview.","Si è verificato un errore. Il template email non può essere aperto per l\'anteprima"
"Base Unsecure URL","URL base non sicuro"
"Base Secure URL","URL base sicuro"
"General Contact Name","Nome contatto generale"
"General Contact Email","Email contatto generale"
"Sales Representative Contact Name","Nome rappresentante vendite"
"Sales Representative Contact Email","Email rappresentante vendite"
"Custom1 Contact Name","Personalizzato1 nome contatto"
"Custom1 Contact Email","Personalizzato1 email"
"Custom2 Contact Name","Personalizzato2 nome"
"Custom2 Contact Email","Personalizzato2 email"
"Store Name","Nome negozio"
"Store Phone Number","Numero telefonico negozio"
"Region/State","Regione/stato"
"Street Address 1","Indirizzo 1"
"Street Address 2","Indirizzo 2"
"Store Contact Information","Informazioni di contatto negozio"
"Template Variables","Variabili template"
"The template Name must not be empty.","Il nome del template non può essere vuoto."
"Duplicate Of Template Name","Duplicati del nome template"
"Invalid transactional email code: %1","Codice email transazionale non valido: %1"
"Requested invalid store ""%1""","Negozio richiesto non valido ""%1"""
"Invalid sender data","Dati mittente non validi"
"Load default template","Carica template predefinito"
"Template","Template"
"Are you sure that you want to strip tags?","Sei sicuro di voler rimuovere i tag?"
"Are you sure that you want to delete this template?","Sei sicuro di voler eliminare questo template?"
"Failed to load template. See error log for details.","Caricamento template fallito. Consultare i log per maggiori dettagli."
"Email Preview","Anteprima email"
"No Templates Found","Non sono stati trovati template"
"Added","Aggiunto"
"Template Type","Tipo template"
