"None","Nessuno"
"Sort Order","Ordinamento"
"Title","Titolo"
"Password","Password"
"Unable to retrieve tracking","Impossibile recuperare tracciamento"
"Failed to parse xml document: %1","Parsing documento xml non riuscito: %1"
"Europe First Priority","Prima priorità Europa"
"1 Day Freight","Trasporto in un giorno"
"2 Day Freight","Trasporto in due giorni"
"2 Day","2 giorni"
"2 Day AM","2 giorni AM"
"3 Day Freight","trasporto in tre giorni"
"Express Saver","Express Saver"
"Ground","Terra"
"First Overnight","Primo durante la notte"
"Home Delivery","Consegna a domicilio"
"International Economy","Economica internazionale"
"Intl Economy Freight","Trasporto economico internazionale"
"International First","Primo internazionale"
"International Ground","Internazionale via terra"
"International Priority","Internazionale prioritaria"
"Intl Priority Freight","Trasporto prioritario internazionale"
"Priority Overnight","Priorità durante la notte"
"Smart Post","Smart Post"
"Standard Overnight","Standard durante la notte"
"Freight","Trasporto"
"National Freight","Trasporto nazionale"
"Regular Pickup","Ritiro regolare"
"Request Courier","Richiesta corriere"
"Drop Box","Drop Box"
"Business Service Center","Centro servizi azienda"
"Station","Stazione"
"FedEx Envelope","Involucro FedEx"
"FedEx Pak","FedEx Pak"
"FedEx Box","Scatola FedEx"
"FedEx Tube","Tubo FedEx"
"FedEx 10kg Box","Scatola FedEx 10kg"
"FedEx 25kg Box","Scatola FedEx 25kg"
"Your Packaging","Il tuo pacco"
"Not Required","Non richiesto"
"Adult","Adulto"
"Direct","Diretto"
"Indirect","Indiretto"
"status","status"
"Empty response","Risposta vuota"
"Key","Chiave"
"Debug","Debug"
"Enabled for Checkout","Abilitato per il checkout"
"Calculate Handling Fee","Calcolare costi di gestione"
"Handling Applied","Costi di gestione applicati"
"Handling Fee","Costi di gesione"
"Allowed Methods","Metodi consentiti"
"Displayed Error Message","Messaggio di errore visualizzato"
"Free Method","Metodo gratis"
"Free Shipping Amount Threshold","Soglia importo spedizione gratuita"
"Ship to Applicable Countries","Spedisci a paesi per il quale è applicabile"
"Ship to Specific Countries","Spedisci a determinati paesi"
"Show Method if Not Applicable","Mostra metodo se non applicabile"
"FedEx","FedEx"
"Account ID","Account ID"
"Please make sure to use only digits here. No dashes are allowed.","Assicurarsi di usare solo cifre qui. I trattini non sono permessi."
"Meter Number","Meter Number"
"Sandbox Mode","Modalità sandbox"
"Web-Services URL (Production)","Web-Services URL (Produzione)"
"Web-Services URL (Sandbox)","Web-Services URL (Sandbox)"
"Packages Request Type","Tipo pacchetti richiesto"
"Packaging","Imballaggio"
"Dropoff","Lasciare"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Peso massimo pacchetto (Consultare il corriere per conoscere il peso massimo consentito per la spedizione)"
"Residential Delivery","Consegna abitazione privata"
"Hub ID","Hub ID"
"The field is applicable if the Smart Post method is selected.","Il campo è applicabile se il metodo Smart post è selezionato."
