"Cancel","Cancella"
"From","Da"
"To","Add gift options"
"OK","OK"
"Gift Message","Messaggio regalo"
"Message","Messaggio"
"Unknown entity type","Tipo entità sconosciuto"
"Gift Options","Opzioni regalo"
"Do you have any gift items in your order?","Hai degli oggetti regalo nel tuo ordine?"
"Add gift options","Aggiungi opzioni regalo"
"Gift Options for the Entire Order","Opzioni regalo per l\'intero ordine"
"Add gift options for the Entire Order","Aggiungi opzioni regalo per l\'intero ordine"
"If you don't want to leave a gift message for the entire order, leave this box blank.","Se non vuoi lasciare un messaggio regalo per l\'intero ordine lascia vuoto questo box."
"Gift Options for Individual Items","Opzioni regalo per i singoli articoli"
"Add gift options for Individual Items","Aggiungi opzioni regalo per i singoli articoli"
"Item %1 of %2","Articolo %1 di %2"
"You can leave a box blank if you don't wish to add a gift message for the item.","Puoi lasciare i box vuoti se non desideri aggiungere un messaggio per l\'articolo."
"Gift Options for this address.","Opzioni regalo per questo indirizzo."
"You can leave this box blank if you do not wish to add a gift message for this address.","Puoi lasciare questo box vuoto se non vuoi aggiungere un messaggio per questo indirizzo."
"You can leave this box blank if you do not wish to add a gift message for the item.","Puoi lasciare questo box vuoto se non vuoi aggiungere un messaggio per questo articolo."
"Allow Gift Messages on Order Level","Aggiungi messaggi regalo a livello dell'ordine"
"Allow Gift Messages for Order Items","Aggiungi messaggi regalo per articolo nell'ordine"
