"Remove","Rimuovi"
"Cancel","Cancella"
"Edit","Modifica"
"Email","Email"
"Save","Salva"
"General","Generale"
"Name","Nome"
"Status","Status"
"View","Visualizza"
"Active","Attivo"
"Basic Settings","Impostazioni di base"
"Allow","Consenti"
"Inactive","Inattivo"
"Integrations","Integrazioni"
"Add New Integration","Aggiungi nuova integrazione"
"Save & Activate","Salva e attiva"
"New Integration","Nuova integrazione"
"Edit Integration '%1'","Modifica integrazione '%1'"
"Integration Info","Informazioni integrazione"
"Callback URL","Callback URL"
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","Inserire URL dove le credenziali Oauth possono essere inviate quando si usa Oauth per lo scambio dei token. Si raccomanda di utilizzare https://."
"Identity link URL","URL link identità"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","URL per reindirizzare utenti a linkare il loro account di terze parti con queste credenziali di integrazione Magento."
"Integration Details","Dettagli integrazione"
"Integration Tokens for Extensions","Token integrazione per estensione"
"Consumer Key","Chiave utente"
"Consumer Secret","Utente segreto"
"Access Token","Token accesso"
"Access Token Secret","Token segreto accesso"
"Uninstall the extension to remove this integration","Disinstallare l\'estensione per rimuovere questa integrazione."
"Activate","Attivare"
"Reauthorize","Autorizza nuovamente"
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","Attenzione! Le integrazioni che non utilizzano HTTPS non sono sicure e potenzialmente possono esperre informazioni private o personali"
"Internal error. Check exception log for details.","Errore interno. Controlla log eccezione per i dettagli."
"Integration ID is not specified or is invalid.","ID integrazione non valido o non specificato."
"View ""%1"" Integration","Visualizza integrazione ""%1"""
"Edit ""%1"" Integration","Modifica integrazione ""%1"" "
"The integration '%1' has been saved.","L\'integrazione '%1' è stata salvata."
"The integration was not saved.","L\'integrazione non è stata salvata."
"Uninstall the extension to remove integration '%1'.","Disinstalla l\'estensione per rimuovere l\'integrazione '%1'."
"This integration no longer exists.","Questa integrazione non esiste più."
"The integration '%1' has been deleted.","L\'integrazione '%1' è stata eliminata."
"The integration '%1' has been re-authorized.","L\'integrazione '%1' è stata ri-autorizzata."
"The integration '%1' has been activated.","L\'integrazione '%1' è stata attivata."
"Integration '%1' has been sent for re-authorization.","L\'integrazione '%1' è stata inviata per essere ri-autorizzata."
"Integration '%1' has been sent for activation.","L\'integrazione '%1' è stata inviata per l\'attivazione."
"Invalid Callback URL","Callback URL non valido"
"Invalid Rejected Callback URL","Callback URL rifiutato non valido"
"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' è troppo lungo. Deve avere una lunghezza di %min% simboli."
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' troppo corto. Deve avere una lunghezza di %min% simboli."
"Integration with name '%1' exists.","Esiste già un\'integrazione chiamata '%1'"
"Integration with ID '%1' does not exist.","Non esiste un\'integrazione con ID '%1' ."
"A consumer with ID %1 does not exist","Non esiste un utente con ID %1"
"Consumer with ID '%1' does not exist.","Non esiste un utente con ID '%1' "
"The integration you selected asks you to approve access to the following:","L\'integrazione che hai selezionato chiede di approvare l\'accesso alle seguenti:"
"Are you sure ?","Sei sicuro?"
"Are you sure you want to delete this integration? You can't undo this action.","Sei sicuro di voler eliminare questa integrazione? Non puoi annullare questa azione."
"Please setup or sign in into your 3rd party account to complete setup of this integration.","Configura o accedi al tuo account di terze parte per completare la configurazione di questa integrazione."
"Done","Fatto"
"Sorry, something went wrong. Please try again later.","Qualcosa è andato storto. Riprovare più tardi."
"OAuth","OAuth"
"Cleanup Settings","Impostazioni di pulizia"
"Cleanup Probability","Probabilità di pulizia"
"Expiration Period","Periodo di scadenza"
"Consumer Settings","Impostazioni utente"
"OAuth consumer credentials HTTP Post maxredirects","OAuth utente credenziali HTTP Post numero massimo reindirizzamenti"
"OAuth consumer credentials HTTP Post timeout","OAuth utente credenziali HTTP Post timeout"
"Integrations Configuration","Configurazione integrazioni"
"Integration configuration file.","File configurazione integrazione"
"No Integrations Found","Nessuna integrazione trovata"
