"Start Time","Ora inizio"
"Frequency","Frequenza"
"Error Email Recipient","Destinatario email di errore"
"Error Email Sender","Mittente email di errore"
"Error Email Template","Template email di errore"
"Log Cleaning","Pulizia log"
"Save Log, Days","Salvataggio log, giorni"
"Enable Log Cleaning","Abilita pulizia log"
"Customers Now Online","Clienti ora online"
"Online","Online"
"Online Customers","Clienti online"
"Online Customers Options","Opzioni clienti online"
"Online Minutes Interval","Intervallo minuti online"
