"Cancel","Cancella"
"Back","Indietro"
"ID","ID"
"Action","Azione"
"Reset","Reset"
"Customer","Cliente"
"Guest","Ospite"
"Email","Email"
"Delete","Elimina"
"Store","Negozio"
"Web Site","Sito web"
"Status","Status"
"Store View","Vista negozio"
"Type","Tipo"
"A total of %1 record(s) were updated.","Un totale di %1 risultati sono stati aggiornati."
"Total of %1 record(s) were deleted","Un totale di %1 risutlati sono stati eliminati"
"Preview","Anteprima"
"Subject","Oggetto"
"Sent","Inviato"
"Not Sent","Non inviato"
"Sending","Invio in corso"
"Paused","Messo in pausa"
"Newsletter","Newsletter"
"Updated","Aggiornato"
"Newsletter Subscription","Iscrizione alla newsletter"
"Add New Template","Aggiungi nuovo template"
"Delete Template","Elimina template"
"Convert to Plain Text","Converti in testo semplice"
"Preview Template","Anteprima template"
"Save Template","Salva template"
"Template Information","Informazioni template"
"Template Name","Nome template"
"Template Subject","Oggetto template"
"Template Content","Contenuto template"
"Template Styles","Stili template"
"Edit Template","Modifica template"
"New Template","Nuovo template"
"Template","Template"
"Are you sure that you want to delete this template?","Sei sicuro di voler eliminare questo template?"
"Sender Name","Nome mittente"
"Sender Email","Mittente email"
"Message","Messaggio"
"Recipients","Destinatari"
"Please enter a valid email address.","Inserire un indirizzo email valido."
"Delete Selected Problems","Elimina problemi selezionati"
"Unsubscribe Selected","Disiscrivi i selezionati"
"Save Newsletter","Salva la newsletter"
"Save and Resume","Salva e riprendi"
"View Newsletter","Visualizza newsletter"
"Edit Newsletter","Modifica newsletter"
"Queue Information","Informazioni coda"
"Queue Date Start","Data inizio coda"
"Subscribers From","Iscritti da"
"Newsletter Styles","Stili newsletter"
"Start","Inizia"
"Pause","Metti in pausa"
"Do you really want to cancel the queue?","Vuoi veramente cancellare la coda?"
"Resume","Riprendi"
"Newsletter Templates","Template newsletter"
"Return HTML Version","Rendi versione HTML"
"Save As","Salva come"
"Edit Newsletter Template","Modifica template newsletter"
"New Newsletter Template","Nuovo template newsletter"
"No Templates Found","Non sono stati trovati template"
"Added","Aggiunto"
"Sender","Mittente"
"Template Type","Tipo template"
"Queue Newsletter...","Coda newsletter..."
"Newsletter Problems Report","Rapporto problemi newsletter"
"Newsletter Problem Reports","Rapporti problemi newsletter"
"We unsubscribed the people you identified.","Le persone identificate sono state disiscritte."
"The problems you identified have been deleted.","I problemi identificati sono stati eliminati."
"Newsletter Queue","Coda newsletter"
"Edit Queue","Modifica coda"
