"None","Nessuno"
"Price","Prezzo"
"No","No"
"Enabled","Abilitato"
"Sort Order","Ordinamento"
"Title","Titolo"
"Type","Tipo"
"Export","Esporta"
"Import","Importa"
"Country","Paese"
"Zip/Postal Code","Codice postale"
"Condition","Condizione"
"Region/State","Regione/stato"
"Shipping Price","Costo spedizione"
"Export CSV","Esporta in CSV"
"Store Pickup","Ritiro in negozio"
"Weight vs. Destination","Peso vs. destinazione"
"Price vs. Destination","Prezzo vs. destinazione"
"# of Items vs. Destination","# oggetti vs. destinazione"
"Weight (and above)","Peso (e superiore)"
"Order Subtotal (and above)","Subtotale ordine (e superiore)"
"# of Items (and above)","# di oggetti (e superiore)"
"Please correct Table Rate code type: %1.","Correggere tipo codice tabella tariffe: %1."
"Please correct Table Rate code for type %1: %2.","Correggere il codice tabella tariffe per il tipo %1: %2."
"Per Order","Per ordine"
"Per Item","Per articolo"
"Free Shipping","Spedizione gratuita"
"For matching items only","Solo per gli articoli corrispondenti"
"For shipment with matching items","Per spedizione con oggetti corrispondenti"
"Please correct Table Rates File Format.","Correggere il formato del file delle tabella tariffe"
"Something went wrong while importing table rates.","Qualcosa è andato storto durante l\'importazione della tabella tariffe"
"We couldn't import this file because of these errors: %1","Impossibile importare questo file a causa di questi errori: %1"
"Please correct Table Rates format in the Row #%1.","Correggere il formato della tabella tariffe nella riga #%1."
"Please correct Country ""%1"" in the Row #%2.","Correggere il paese ""%1"" nella riga #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Correggere regione/stato ""%1"" nella riga #%2."
"Please correct %1 ""%2"" in the Row #%3.","Correggere %1 ""%2"" nella riga #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Correggere il costo della spedizione ""%1"" nella riga #%2."
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Riga duplicata #%1 (Paese ""%2"", Regione/Stato ""%3"", codice postale ""%4"" e valore ""%5"")"
"Calculate Handling Fee","Calcolare spese di gestione"
"Handling Fee","Spese di gesione"
"Displayed Error Message","Messaggio di errore mostrato"
"Ship to Applicable Countries","Spedisci a paesi per i quali è applicabile"
"Ship to Specific Countries","Spedisci a paesi specifici"
"Show Method if Not Applicable","Mostra metodo se non applicabile"
"Flat Rate","Forfettario"
"Method Name","Nome metodo"
"Table Rates","Tabella tariffe"
"Include Virtual Products in Price Calculation","Includi i prodotti virtuali nel calcolo del prezzo"
"Minimum Order Amount","Importo minimo ordine"
