"(Not %1?)","(Non %1?)"
"Your shopping cart has been updated with new prices.","Il tuo carrello è stato aggiornato con i nuovi prezzi."
"Welcome, %1!","Benventuo, %1!"
"To check out, please log in using your email address.","Per eseguire il checkout, accedi utilizzando il tuo indirizzo email."
"We cannot load the configuration from file %1.","Impossibile caricare la configurazione dal file %1."
"Remember Me","Ricordami"
"What's this?","Cos'è questo?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer when you are logged out","Spunta &quot;Ricordami&quot; per avere accesso al tuo carrello da questo computer quando sei disconnesso dal tuo account."
"General Options","Opzioni generali"
"Persistent Shopping Cart","Carrello persistente"
"Enable Persistence","Abilita persistenza"
"Persistence Lifetime (seconds)","Durata persistenza (secondi)"
"Enable ""Remember Me""","Abilita “Ricordami”"
"""Remember Me"" Default Value","Valore predefinito “Ricordami”"
"Clear Persistence on Log Out","Pulisci persistenza alla disconnessione"
"Persist Shopping Cart","Carrello persistente"
