"Product Alerts","Avvisi prodotto"
"We can't find the product.","Impossibile trovare il prodotto."
"There are not enough parameters.","Non ci sono abbastanza parametri."
"You saved the alert subscription.","Sottoscrizione alle notifiche salvata."
"Unable to update the alert subscription.","Impossibile aggiornare sottoscrizione notifiche"
"Alert subscription has been saved.","Sottoscrizione notifiche salvata."
"You deleted the alert subscription.","Sottoscrizione notifiche eliminata."
"You will no longer receive price alerts for this product.","Non riceverai più notifiche per il prezzo di questo prodotto."
"The product was not found.","Prodotto non trovato."
"You will no longer receive stock alerts for this product.","Non riceverai più notifiche sulle scorte di questo prodotto."
"You will no longer receive stock alerts.","Non riceverai più notifiche relative alle scorte."
"Invalid block type: %1","Tipo blocco non valido: %1"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Ricevi questa notifica perché sei iscritto alla ricezione di avvisi quando il prezzo dei seguenti prodotti cambia:"
"Price:","Prezzo:"
"Click here not to receive alerts for this product.","Clicca qui per ricevere notifiche per il prezzo di questo prodotto."
"Unsubscribe from all price alerts","Disiscriviti da tutte le notifiche di prezzo"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Ricevi questa notifica perché sei iscritto alla ricezione di avvisi quando i seguenti prodotti sono nuovamente disponibili:"
"Unsubscribe from all stock alerts","Disiscriviti da tutte le notifiche delle scorte"
"Start Time","Ora inizio"
"Frequency","Frequenza"
"Error Email Recipient","Errore destinatario email"
"Error Email Sender","Errore mittente email"
"Error Email Template","Errore template email"
"Allow Alert When Product Price Changes","Consenti notifiche quando il prezzo del prodotto cambia"
"Allow Alert When Product Comes Back in Stock","Consenti notifiche quando il prezzo è di nuovo disponibile"
"Price Alert Email Template","Template email notifiche prezzo"
"Stock Alert Email Template","Template email notifiche scorte"
"Alert Email Sender","Mittente email di notifica"
"Product Alerts Run Settings","Impostazioni notifiche prodotti"
"Sign up for price alert","Iscriviti per le notifiche prodotti"
"Sign up to be notified when this product is back in stock.","Iscriviti per ricevere una notifica quando questo prodotto sarà di nuovo disponibile."
