"Product","Prodotto"
"Price","Prezzo"
"Quantity","Quantità"
"Products","Prodotti"
"ID","ID"
"SKU","SKU"
"Customers","Clienti"
"Shopping Cart","Carrello"
"No","No"
"Subtotal","Subtotale"
"Discount","Sconto"
"Action","Azione"
"Total","Totale"
"Add to Cart","Aggiungi al carrello"
"Orders","Ordini"
"Bestsellers","Più venduti"
"Customer","Cliente"
"Guest","Ospite"
"Items","Articoli"
"Results","Risultati"
"Uses","Utilizzi"
"Average","Media"
"Order Quantity","Quantità ordine"
"Views","Visualizzazioni"
"Revenue","Ricavo"
"Tax","Tasse"
"Shipping","Spedizione"
"First Name","Nome"
"Last Name","Cognome"
"Email","Email"
"Refresh","Aggiorna"
"Store","Negozio"
"Yes","Sì"
"Name","Nome"
"Title","Titolo"
"Description","Descrizione"
"From","Da"
"To","A"
"Dashboard","Dashboard"
"IP Address","Indirizzo IP"
"All Websites","Tutti i siti web"
"Tax Amount","Importo tassa"
"Invoiced","Fatturato"
"Refunded","Rimborsato"
"Canceled","Cancellato"
"In stock","Disponibile"
"Out of stock","Non disponibile"
"Day","Giorno"
"Month","Mese"
"Year","Anno"
"Search Query","Query di ricerca"
"Search Terms","Termini di ricerca"
"Add to Wishlist","Aggiungi alla lista dei desideri"
"Add to Compare","Aggiungi al confronto"
"Items in Cart","Articoli nel carrello"
"Sales","Vendite"
"Created","Creato"
"Product Reviews","Recensioni prodotto"
"Updated","Aggiornato"
"Reports","Resoconti"
"Details","Dettagli"
"Unlimited","Illimitato"
"Fulfilled","Soddisfatte"
"Filter","Filtro"
"Link","Link"
"Report","Resoconto"
"Added","Aggiunto"
"Coupon Code","Codice coupon"
"New Accounts","Nuovi account"
"Customers by number of orders","Clienti per numero di ordini"
"Customers by Orders Total","Clienti per totale ordini"
"Match Period To","Periodo che coincide con"
"Period","Periodo"
"Empty Rows","Righe vuote"
"Invalid date specified","Data specificata non valida"
"We couldn't find records for this period.","Impossibile trovare risultati per questo periodo."
"Show Reviews","Mostra recensioni"
"Products Report","Resoconti prodotto"
"Downloads","Downloads"
"Purchases","Acquisti"
"CSV","CSV"
"Excel XML","Excel XML"
"Viewed","Visualizzato"
"Purchased","Acquistato"
"Low stock","Scarsa disponibilità"
"Products Ordered","Prodotti ordinati"
"Most Viewed","Più visualizzati"
"Show Report","Mostra resoconto"
"Interval","Intervallo"
"Refresh Statistics","Aggiorna statistiche"
"Customers Reviews","Recensioni cliente"
"Reviews for %1","Recensioni per %1"
"Detail","Dettagli"
"Products Reviews","Recensioni prodotto"
"Products Bestsellers Report","Resoconto prodotti più venduti"
"Coupons Usage Report","Resoconto utilizzo coupon"
"Price Rule","Regola prezzo"
"Sales Subtotal","Subtotale vendite"
"Sales Discount","Sconto vendite"
"Sales Total","Totale vendite"
"Total Invoiced vs. Paid Report","Totale fatturato vs. resoconto pagato"
"Invoiced Orders","Ordini fatturati"
"Total Invoiced","Totale fatturato"
"Paid Invoices","Fatture pagate"
"Unpaid Invoices","Fatture non pagate"
"Total Refunded Report","Resoconto totale rimborsi"
"Refunded Orders","Ordini rimborsati"
"Total Refunded","Totale rimborsi"
"Online Refunds","Rimborsi online"
"Offline Refunds","Rimborsi offline"
"Total Ordered Report","Resoconto totale ordinato"
"Sales Items","Vendite articoli"
"Profit","Profitto"
"Paid","Pagato"
"Sales Tax","Tasse vendite"
"Sales Shipping","Spedizione vendite"
"Total Shipped Report","Resoconto totale spedito"
"Carrier/Method","Corriere/metodo"
"Total Sales Shipping","Totale spedizione vendite"
"Total Shipping","Totale spedito"
"Order Taxes Report Grouped by Tax Rate","Resoconto tasse ordini raggruppati in base all\'aliquota fiscale"
"Rate","Aliquota"
"Abandoned carts","Carrelli abbandonati"
"Applied Coupon","Coupon applicati"
"Products in carts","Prodotti nel carrello"
"Carts","Carrelli"
"Wish Lists","Liste dei desideri"
"Wishlist Purchase","Acquisti dalla lista dei desideri"
"Wish List vs. Regular Order","Lista dei desideri vs. ordini regolari"
"Times Deleted","Numero eliminati"
"Index type is not valid","Tipo indice non valido"
"Search Terms Report","Resoconto termini di ricerca"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, ' 'click <a href=""%3"">here</a>.","Ultimo aggiornamento: %1. Per aggiornare <a href=""%2"">le statistiche degli ultimi giorni</a>, ' 'clicca <a href=""%3"">qui</a>."
"New Accounts Report","Nuovo resoconto account"
"Order Count Report","Resoconto conteggio ordini"
"Customers by Number of Orders","Clienti per numero di ordini"
"Order Total Report","Resoconto totale ordine"
"Ordered Products Report","Resoconto prodotti ordinati"
"Product Views Report","Resoconto visualizzazioni prodotto"
"Products Most Viewed Report","Resoconto prodotti più visualizzati"
"Low Stock Report","Resoconto scarsa disponibilita"
"Low Stock","Scarsa disponibilità"
"Downloads Report","Resoconto download"
"Review","Recensione"
"Reviews","Recensioni"
"Customer Reviews Report","Resoconto recensioni cliente"
"Customers Report","Resoconto clienti"
"Product Reviews Report","Resoconto recensioni prodotto"
"Sales Report","Resoconto vendite"
"Best Sellers Report","Resoconto più venduti"
"Tax Report","Resoconto tasse"
"Shipping Report","Resoconto spedizioni"
"Invoice Report","Resoconto fatture"
"Refunds Report","Resoconto rimbrosi"
"Coupons Report","Resoconto coupon"
"Coupons","Coupon"
"Customer Shopping Carts","Carrelli cliente"
"Products in Carts","Prodotti nei carrelli"
"Abandoned Carts","Carrelli abbandonati"
"Statistics","Statistiche"
"No report code is specified.","Nessun codice report specificato."
"Recent statistics have been updated.","Le statistiche recenti sono state aggiornate."
"We can't refresh recent statistics.","Impossibile aggiornare statistiche recenti."
"We updated lifetime statistics.","Aggiornate statistiche dall'inizio dell'attività."
"We can't refresh lifetime statistics.","Impossibile aggiornare statistiche dall'inizio dell'attività."
"The product type filter specified is incorrect.","Filtro tipo prodotto specificato non corretto."
"Order Taxes Report Grouped by Tax Rates","Resoconto tasse ordine raggruppate per aliquote fiscali"
"Total Invoiced VS Paid Report","Totale fatturato vs. resoconto pagato"
"Promotion Coupons Usage Report","Resoconto utilizzo coupon promozionali"
"Most Viewed Products Report","Resoconto prodotti più visualizzati"
"Show By","Mostra per"
"Select Date","Seleziona data"
"Customers that have wish list: %1%","Clienti con lista dei desideri: %1%"
"Number of wish lists: %1","Numero liste dei desideri: %1"
"Number of items bought from a wish list: %1","Numero di articoli comprati da una lista dei desideri: %1"
"Number of times wish lists have been shared (emailed): %1","Numero di volte che una lista dei desideri è stata condivisa (via email): %1"
"Number of wish list referrals: %1","Numero di riferimenti lista dei desideri: %1"
"Number of wish list conversions: %1","Numero di conversioni dalla lista dei desideri: %1"
"Show Report For:","Mostra resoconto per:"
"Recently Viewed","Visualizzati di recente"
"Recently Compared Products","Prodotti confrontati di recente"
"Recently Viewed Products","Prodotti visualizzati di recente"
"Recently Compared","Confrontati di recente"
"Recently Viewed/Compared Products","Prodotti visualizzati/confrontati di recente"
"Show for Current","Visualizza per l'attuale"
"Default Recently Viewed Products Count","Conteggio prodotti visualizzati di recente predefinito"
"Default Recently Compared Products Count","Conteggio prodotti confrontati di recente predefinito"
"Year-To-Date Starts","Year-To-Date avvii"
"Current Month Starts","Avvii mese corrente"
"Select day of the month.","Seleziona giorno del mese."
"List of Products Recently Viewed by Visitor","Lista dei prodotti visualizzati di recente dai visitatori"
"Number of Products to display","Numero di prodotti da mostrare"
"Viewed Products Grid Template","Template griglia prodotti visualizzati"
"Viewed Products List Template","Template lista prodotti visualizzati"
"Viewed Products Images and Names Template","Template nomi e immagini prodotti visualizzati"
"Viewed Products Names Only Template","Template solo nomi per prodotti visualizzati"
"Viewed Products Images Only Template","Template solo immagini per prodotti visualizzati"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Lista dei prodotti recentemente confrontati e rimossi dalla lista di confronto dai visitatori"
"Compared Products Grid Template","Template griglia prodotti confrontati"
"Compared Products List Template","Template lista prodotti confrontati"
"Compared Products Images and Names Template","Template nomi e immagini prodotti confrontati"
"Compared Product Names Only Template","Template solo nomi per prodotti confrontati"
"Compared Product Images Only Template","Template solo immagini per prodotti confrontati"
"Hits","Hits"
"We couldn't find records for this period.","Impossibile trovare risultati per questo periodo."
"Stock Quantity","Quantità riserve"
"Ordered Quantity","Quantità ordinata"
"This report uses timezone configuration data. Be sure to refresh lifetime statistics any time you change store timezone.","Questo resoconto utilizza dati di configurazione riferiti al fuso orario. Assicurati di aggiornare le statistiche dall'inizio dell'attività ogni volta che cambi il fuso orario del negozio."
"Average (Approved)","Media (approvati)"
"Last Review","Ultima recensione"
"Order Created Date","Data creazione ordine"
"Order Updated Date","Data aggiornamento ordine"
"The Order Updated Date report is displayed in real-time, and does not need to be refreshed.","Il resoconto data aggiornamento ordine è mostrato i tempo reale, non c'è bisogno che sia aggiornato."
"Last Invoice Created Date","Data creazione ultima fattura"
"Last Credit Memo Created Date","Data creazione ultima nota di credito"
"First Invoice Created Date","Data creazione prima fattura"
"Refresh Lifetime Statistics","Aggiorna statistiche dall'inizio dell'attività"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Sei sicuro di voler aggiornare le statistiche dall'inizio dell'attività? Questa operazione potrebbe incidere sulle performance fino alla sua conclusione."
"Refresh Statistics for the Last Day","Aggiorna statistiche per l'ultimo giorno"
"Are you sure you want to refresh statistics for last day?","Sei sicuro di voler aggiornare le statistiche per l'ultimo giorno?"
"undefined","indefinito"
