"Subtotal","Subtotale"
"Discount","Sconto"
"Grand Total","Totale"
"Tax","Tasse"
"Catalog","Catalogo"
"From:","Da:"
"To:","A:"
"Gift Message","Messaggio regalo"
"Message:","Messaggio:"
"Click for price","Clicca per il prezzo"
"New Products","Nuovi prodotti"
"Wishlist","Lista dei desideri"
"New Products from %1","Nuovi prodotti dal %1"
"Low Stock Products","Prodotti in esaurimento"
"%1 has reached a quantity of %2.","%1 ha raggiunto la quantità di %2."
"Pending product review(s)","Recensioni prodotto pendenti."
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Prodotto: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Sommario recensione: %1 <br/>"
"Review: %1 <br/>","Recensione: %1 <br/>"
"Store: %1 <br/>","Negozio: %1 <br/>"
"Click <a href=""%1"">here</a> to view the review.","Clicca <a href=""%1"">qui</a> per visualizzare la recensione."
"Product: ""%1"" reviewed by: %2","Prodotto: ""%1"" recensito da: %2"
"%1 - Discounts and Coupons","%1 – Sconti e coupon"
"%1 - Special Products","%1 – Prodotti a prezzo speciale"
"Special Expires On: %1","Il prezzo speciale termina: %1"
"Price: %1","Prezzo: %1"
"Special Price: %1","Prezzo speciale: %1"
"Special Products","Prodotti a prezzo speciale"
"Coupons/Discounts","Coupon/sconti"
"New Orders","Nuovi ordini"
"Order #%1 created at %2","Ordine #%1 creato il %2"
"Order # %1 Notification(s)","Ordine # %1 Notifiche"
"Details for %1 #%2","Dettagli per %1 #%2"
"Notified Date: %1<br/>","Data notifica: %1<br/>"
"Comment: %1<br/>","Commento: %1<br/>"
"Current Status: %1<br/>","Status corrente: %1<br/>"
"Total: %1<br/>","Totale: %1<br/>"
"%1's Wishlist","%1's Lista dei desideri"
"Comment:","Commento:"
"We cannot retrieve the wish list.","Impossibile richiamare la lista dei desideri."
"There was no RSS feed enabled.","Non ci sono feed RSS abilitati."
"Error in processing xml. %1","Errore elaborazione xml. %1"
"Subscribe to RSS Feed","Iscriviti ai feed RSS"
"Miscellaneous Feeds","Feed vari"
"Get Feed","Ottieni Feed"
"Category Feeds","Feed categoria"
"There are no Rss Feeds.","Non ci sono feed RSS."
"Customer Name: %1","Nome cliente: %1"
"Purchased From: %1","Acquistato dal: %1"
"Discount (%1)","Sconto (%1)"
"Shipping &amp; Handling","Spedizione &amp; Gestione"
"RSS Feeds","RSS Feeds"
"Rss Config","Configurazione RSS"
"Enable RSS","Abilita RSS"
"Top Level Category","Categoria di primo livello"
"Customer Order Status Notification","Notifica stato ordine cliente"
