"Remove","Rimuovi"
"Apply","Applica"
"Add","Aggiunti"
"Please wait, loading...","Attendere, caricamento..."
"Attribute Set","Set attributi"
"Category","Categoria"
"Conditions Combination","Combinazione condizioni"
"contains","Contiene"
"Open Chooser","Apri selettore"
"is one of","è uno di"
"is not one of","non è uno di"
"equals or greater than","uguale o maggiore di"
"equals or less than","uguale o minore di"
"greater than","maggiore di"
"less than","minore di"
"is","è"
"is not","non è"
"Invalid discount amount.","Importo sconto non valido."
"End Date must follow Start Date.","La data finale deve essere successiva a quella iniziale."
"Websites must be specified.","I siti web devono essere specificati."
"Customer Groups must be specified.","I gruppi cliente devono essere specificati."
"to","a"
"by","da"
"Please choose an action to add.","Scegliere un\'azione da aggiongere"
"Perform following actions","Esegui le seguenti azioni"
"does not contain","non contiene"
"Please choose a condition to add.","Scegliere una condizione da aggiungere"
"ALL","TUTTO"
"ANY","QUALSIASI"
"TRUE",VERO
"FALSE",FALSO
"If %1 of these conditions are %2:","Se %1 di queste condizioni sono %2:"
"There is no information about associated entity type ""%1"".","Non ci sono informazioni riguardanti tipi entità associati ""%1""."
