"Remove","Rimuovi"
"Close","Chiudi"
"Cancel","Cancella"
"Back","Indietro"
"Add Products","Aggiunti prodotti"
"Update Items and Qty's","Aggiorna articoli e quantità"
"Product","Prodotto"
"Price","Prezzo"
"Quantity","Quantità"
"Products","Prodotti"
"ID","ID"
"SKU","SKU"
"Apply","Applica"
"Configure","Configura"
"Shopping Cart","Carrello"
"Quote item id is not received.","ID preventivo articolo non ricevuto."
"Quote item is not loaded.","Preventivo articolo non caricato."
"No","No"
"Apply Coupon Code","Applica codice coupon"
"Remove Coupon Code","Rimuovi codice coupon"
"Qty","Qtà"
"Subtotal","Subtotale"
"Discount","Sconto"
"Row Subtotal","Subtotale di riga"
"Action","Azione"
"No ordered items","Nessun articolo ordinato"
"Total %1 product(s)","%1 prodotti totali"
"Subtotal:","Subtotale:"
"Excl. Tax","Tasse escluse"
"Total","Totale"
"Incl. Tax","Tasse incluse"
"Total incl. tax","Totale tasse incluse"
"Move to Wishlist","Sposta nella lista dei desideri"
"Edit","Modifica"
"Item","Articolo"
"Add to Cart","Aggiungi al carrello"
"Sku","SKU"
"Order saving error: %1","Errore salvataggio ordine: %1"
"You created the order.","Ordine creato."
"Orders","Ordini"
"Customer","Cliente"
"Guest","Ospite"
"Grand Total","Totale"
"Tax","Tasse"
"Shipping","Spedizione"
"Account Information","Informazioni account"
"First Name","Nome"
"Last Name","Cognome"
"Email","Email"
"Refresh","Aggiorna"
"Enable","Abilita"
"General","Generale"
"Yes","Sì"
"Name","Nome"
"Status","Status"
"Enabled","Abilitato"
"Title","Titolo"
"Home","Home"
"Any","Qualsiasi"
"From","Da"
"To","A"
" [deleted]"," [eliminato]"
"Dashboard","Dashboard"
"title","Titolo"
"Specified","Specificato"
"Order","Ordine"
"Order #%1","Ordine #%1"
"Shipping Amount","Costo di spedizione"
"Tax Amount","Importo tasse"
"View","Visualizza"
"We cannot add this item to your shopping cart.","Non è possibile aggiungere questo articolo al carrello."
"N/A","N/D"
"Ordered","Ordinato"
"Invoiced","Fatturato"
"Shipped","Spedito"
"Refunded","Rimborsato"
"Canceled","Cancellato"
"From:","Da:"
"To:","A:"
"Gift Message","Messaggio regalo"
"Message:","Messaggio:"
"Tier Pricing","Fascia di prezzo"
"Go to Home Page","Vai alla Home"
"Customer Group","Gruppo cliente"
"Closed","Chiuso"
"Product Name","Nome prodotto"
"Discount Amount","Importo sconto"
"Country","Paese"
"State/Province","Stato/Provincia"
"Payment Information","Informazioni di pagamento"
"Shipping Information","Informazioni di spedizione"
"Shipping Method","Metodo di spedizione"
"Clear Shopping Cart","Svuota carrello"
"City","Città"
"Zip/Postal Code","Codice postale"
"Email Address","Indirizzo email"
"Company","Azienda"
"Address","Indirizzo"
"Street Address","Indirizzo"
"Telephone","Numero di telefono"
"Save in address book","Salva nella rubrica"
"Continue","Continua"
"Order #","Ordine #"
"No Payment Methods","Nessun metodo di pagamento"
"Billing Address","Indirizzo di fatturazione"
"Shipping Address","Indirizzo di spedizione"
"Payment Method","Metodo di pagamento"
"Sales","Vendite"
"Created","Creato"
"Select","Seleziona"
"Comment","Commento"
"%1","%1"
"Date","Data"
"Add New Address","Aggiungi nuovo indirizzo"
"Purchase Date","Data di acquisto"
"Bill-to Name","Fattura a nome di"
"Ship-to Name","Spedisci a nome di"
"Order Total","Totale"
"Purchase Point","Punto di acquisto"
"Recent Orders","Ordini recenti"
"Store Credit","Credito negozio"
"Notified","Notificato"
"Notify Customer by Email","Notifica cliente via email"
"Billing","Fatturazione"
"Newsletter Subscription","Iscrizione newsletter"
"Order Status","Status ordine"
"Wish List","Lista dei desideri"
"Pending","In attesa"
"View Order","Visualizza ordine"
"Amount","Importo"
"Message","Messaggio"
"Information","Informazioni"
"Gift Options","Opzioni regalo"
"If you don't want to leave a gift message for the entire order, leave this box blank.","Se non vuoi lasciare un messaggio regalo per l'intero ordine, lascia vuoto questo campo."
"An item option with code %1 already exists.","Esiste già un\'opzione articolo con il codice %1 ."
"New","Nuova"
"Custom Price","Prezzo personalizzato"
