"Back","Indietro"
"Name","Nome"
"Enabled","Abiltiato"
"* Required Fields","* Campi obbligatori"
"Message:","Messaggio:"
"Email to a Friend","Invia via email ad un amico"
"Email Address","Indirizzo email"
"Email Templates","Template email"
"Name:","Nome:"
"Email Address:","Indirizzo email:"
"Sender:","Mittente:"
"Email:","Email:"
"Recipient:","Destinatario:"
"Add Recipient","Aggiungi destinatario"
"Send Email","Invia email"
"You can't send messages more than %1 times an hour.","Non puoi inviare messaggi più di %1 volte in un'ora."
"The link to a friend was sent.","Il link ad un amico è stato inviato"
"We found some problems with the data.","Sono stati riscontrati dei problemi con i dati."
"Some emails were not sent.","Alcune email non sono state inviate."
"You've met your limit of %1 sends in an hour.","Hai raggiunto il tuo limite di %1 invii in un'ora."
"The sender name cannot be empty.","Il nome del mittente non può essere vuoto."
"Invalid Sender Email","Mittente email non valido"
"The message cannot be empty.","Il messaggio non può essere vuoto."
"At least one recipient must be specified.","Deve essere specificato almeno un destinatario."
"Please enter a correct recipient email address.","Inserire un corretto indirizzo email del destinatario."
"No more than %1 emails can be sent at a time.","Non possono essere inviate più di %1 email per volta."
"Please define a correct Cookie instance.","Definire un\'istanza cookie corretta."
"Please define a correct Product instance.","Definire un\'istanza prodotto corretta."
"Invalid Sender Information","Informazioni mittente errate"
"Please define the correct Sender information.","Definire le informazioni mittente corrette."
"Remove Email","Rimuovi email."
"Maximum %1 email addresses allowed.","Numero massimo indirizzi email consentiti %1."
"Select Email Template","Seleziona template email"
"Allow for Guests","Consenti per gli ospiti"
"Max Recipients","Numero massimo destinatari"
"Max Products Sent in 1 Hour","Numero massimo prodotti inviati in un\'ora"
"Limit Sending By","Limite di invio da"
