"Are you sure?","Sei sicuro?"
"Cancel","Cancella"
"Add Products","Aggiungi prodotti"
"Product","Prodotto"
"SKU","SKU"
"Qty","Qtà"
"Action","Azione"
"Incl. Tax","Tasse incluse"
"Add","Aggiungi"
"Delete","Elimina"
"Title","Titolo"
"Type","Tipo"
"Description","Descrizione"
"Select All","Seleziona tutto"
"OK","OK"
"Fixed","Fissato"
"N/A","N/D"
"Percent","Percentuale"
"Close Window","Chiudi finestra"
"Product Name","Nome prodotto"
"Country","Paese"
"Payment Information","Informazioni pagamento"
"Shipping Information","Informazioni spedizione"
"City","Città"
"Street Address","Indirizzo"
"Weight","Peso"
"Contents","Contenuti"
"Package","Pacchetto"
"Packages","Pacchetti"
"Date","Data"
"cm","cm"
"Height","Altezza"
"Width","Larghezza"
"No packages for request","Nessun pacchetto su richiesta"
"Region/State","Regione/stato"
"Location","Località"
"Shipping Methods","Metodi di spedizione"
"Per Order","Per ordine"
"All Allowed Countries","Tutti i paesi consentiti"
"Specific Countries","Paesi specifici"
"Status:","Status:"
"Print","Stampa"
"Custom Value","Valore personalizzato"
"Print Shipping Label","Stampa etichetta spedizione"
"Show Packages","Mostra pacchetti"
"Products should be added to package(s)","I prodotti dovrebbero essere aggiunti al pacchetto"
"Please specify a carrier.","Specificare un corriere."
"Tracking Information","Informazioni di tracciamento"
"No detail for number ""%1""","nessun dettaglio per il numero ""%1"""
"Customs Value","Valori personalizzati"
"Qty Ordered","Qtà ordinata"
"Create Shipping Label","Creare etichette di spedizione"
"Add Package","Aggiungi pacchetto"
"Create Packages","Creare pacchetto"
"Size","Dimensione"
"Girth","Circonferenza"
"Total Weight","Peso totale"
"Length","Lunghezza"
"Signature Confirmation","Conferma della firma"
"in","in"
"lb","lb"
"kg","kg"
"Delete Package","Elimina pacchetto"
"Explanation","Spiegazione"
"Add Selected Product(s) to Package","Aggiungi prodotti selezionati al pacchetto"
"Please select products.","Selezionare prodotti"
"Carrier","Corriere"
"Number","Numero"
"Items in the Package","Articoli nel pacchetto"
"Shipping and Tracking Information","Informazioni di spedizione e di tracciamento"
"Track this shipment","Traccia questa spedizione"
"Ship","Spedisci"
"Shipments","Spedizioni"
"Order # %1","Ordine # %1"
