"All","Tutto"
"None","Nessuno"
"ID","ID"
"Action","Azione"
"Enabled","Abilitato"
"Store View","Vista negozio"
"Catalog","Catalogo"
"Always","Sempre"
"Priority","Priorità"
"Path","Percorso"
"Daily","Giornalmente"
"Weekly","Settimanalmente"
"Monthly","Mensilmente"
"Never","Mai"
"Generate","Genera"
"Hourly","Ogni ora"
"Start Time","Ora di inizio"
"Frequency","Frequenza"
"Save & Generate","Salva e genera"
"Edit Sitemap","Modifica sitemap"
"New Sitemap","Nuova sitemap"
"Sitemap Information","Informazioni sitemap"
"Sitemap","Sitemap"
"Filename","Nome file"
"example: sitemap.xml","esempio: sitemap.xml"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","esempio: ""sitemap/"" o ""/"" per percorso base (il percorso deve essere scrivibile)"
"XML Sitemap","XML Sitemap"
"Add Sitemap","Aggiungi sitemap"
"Site Map","Sitemap"
"This sitemap no longer exists.","La sitemap non esiste più."
"New Site Map","Nuova sitemap"
"The sitemap has been saved.","La sitemap è stata salvata."
"The sitemap has been deleted.","La sitemap è stata eliminata."
"We can't find a sitemap to delete.","Impossibile trovare la sitemap da eliminare."
"The sitemap ""%1"" has been generated.","La sitemap ""%1"" è stata generata."
"Something went wrong generating the sitemap.","Qualcosa è andato storto durante la generazione della sitemap."
"We can't find a sitemap to generate.","Impossibile trovare la sitemap da generare."
"The priority must be between 0 and 1.","La priorità deve essere tra 0 e 1."
"Yearly","Annualmente"
"File handler unreachable","Gestore file irraggiungibile."
"Please define a correct path.","Definire un percorso corretto."
"Please create the specified folder ""%1"" before saving the sitemap.","Creare la cartella specifica ""%1"" prim di salvare la sitemap."
"Please make sure that ""%1"" is writable by the web-server.","Assicurarsi che ""%1"" sia scrivibile dal web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Utilizzare solo lettere (a-z o A-Z), numeri (0-9) o underscores (_) nel nome del file. No sono permessi spazi o altri caratteri."
"Base Only","Solo Base"
"Error Email Recipient","Destinatario email di errore"
"Error Email Sender","Mittente email di errore"
"Error Email Template","Template email di errore"
"Categories Options","Opzioni categorie"
"Valid values range from 0.0 to 1.0.","Intervallo valori validi tra 0.0 e 1.0."
"Products Options","Opzioni prodotti"
"Add Images into Sitemap","Aggiungi immagini nella sitemap"
"CMS Pages Options","Opzioni pagine CMS"
"Generation Settings","Impostazioni generazione"
"Sitemap File Limits","Limite file sitemap"
"Maximum No of URLs Per File","Numero massimo di URL per file"
"Maximum File Size","Dimensione massima file"
"File size in bytes.","Dimensione file in byte."
"Search Engine Submission Settings","Impostazioni presentazione ai motori di ricerca"
"Enable Submission to Robots.txt","Abilita presentazione a Robots.txt"
"Link for Google","Link per Google"
"Last Generated","Ultima generata"
