"None","Nessuno"
"Cancel","Cancella"
"Back","Indietro"
"Subtotal","Subtotale"
"Excl. Tax","Tasse escluse"
"Total","Totale"
"Incl. Tax","Tasse incluse"
"Reset","Reset"
"Unit Price","Prezzo unitario"
"Tax","Tasse"
"Save","Salva"
"Name","Nome"
"Code","Codice"
"Sort Order","Ordinamento"
"Save and Continue Edit","Salva e continua la modifica"
"Are you sure you want to do this?","Sei sicuro di volerlo fare?"
"New Rule","Nuova regola"
"Priority","Priorità"
"Edit Rule","Modifica regola"
"Country","Paese"
"Billing Address","Indirizzo di fatturazione"
"Shipping Address","Indirizzo di spedizione"
"Sales","Vendite"
"CSV","CSV"
"Excel XML","Excel XML"
"Rate","Tasse"
"Shipping Incl. Tax (%1)","Spedizione tasse incluse (%1)"
"Shipping Excl. Tax (%1)","Spedizione tasse escluse (%1)"
"Grand Total Excl. Tax","Totale tasse escluse"
"Grand Total Incl. Tax","Totale tasse incluse"
"Subtotal (Excl. Tax)","Subtotale (tasse escluse)"
"Subtotal (Incl. Tax)","Subtotale (tasse incluse)"
"Row Total","Totale di riga"
"Tax Rate Information","Informazioni aliquota fiscale"
"Tax Identifier","Identificatore tassa"
"Zip/Post is Range","CAP come intervalli"
"Zip/Post Code","Codice postale"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' - coincide con qualsiasi; 'xyz*' - coincide con qualsiasi che inizi con 'xyz' e non è più lungo di %1."
"Range From","Intervalli da"
"Range To","Intervalli a"
"State","Stato"
"Rate Percent","Percentuale tassa"
"Tax Titles","Titolo tassa"
"Add New Tax Rate","Aggiungi nuova aliquota fiscale"
"Delete Rate","Elimina aliquota"
"Save Rate","Salva aliquota"
"Manage Tax Rules","Gestisci regole tasse"
"Add New Tax Rule","Aggiungi nuova regola tassa"
"Save Rule","Salva regola"
"Delete Rule","Elimina regola"
"Tax Rule Information","Informazioni regola tassa"
"Customer Tax Class","Classe fiscale cliente"
"Product Tax Class","Classe fiscale prodotto"
"Tax Rate","Aliquota fiscale"
"Tax rates at the same priority are added, others are compounded.","Aliquote fiscali con la stessa priorità vengono sommate, le altre combinate."
"Calculate Off Subtotal Only","Calcolare solo fuori dal subtotale"
"Do you really want to delete this tax class?","Vuoi veramente eliminare questa aliquota fiscale?"
"Add New Tax Class","Aggiungi nuova classe fiscale"
"Subtotal (Excl.Tax)","Subtotale (tasse escluse)"
"Subtotal (Incl.Tax)","Subtotale (tasse incluse)"
"Shipping & Handling (Excl.Tax)","Spedizione e Gestione (tasse escluse)"
"Shipping & Handling (Incl.Tax)","Spedizione e Gestione (tasse incluse)"
"Grand Total (Excl.Tax)","Totale (tasse escluse)"
"Grand Total (Incl.Tax)","Totale (tasse incluse)"
"Tax Zones and Rates","Zone e aliquote fiscali"
"Manage Tax Rates","Gestisci aliquote fiscali"
"New Tax Rate","Nuova aliquota fiscale"
"The tax rate has been saved.","L\'aliquota fiscale è stata salvata."
"Something went wrong saving this rate.","Qualcosa è andato storto nel salvataggio di questa aliquota."
"Edit Tax Rate","Modifica aliquota fiscale"
"The tax rate has been deleted.","L\'aliquota fiscale è stata eliminata."
"Something went wrong deleting this rate.","Qualcosa è andato storto durante l\'eliminazione di questa aliquota."
"Something went wrong deleting this rate because of an incorrect rate ID.","Qualcosa è andato storto durante l\'eliminazione di questa aliquota a causa di un ID aliquota non corretto."
"An error occurred while deleting this tax rate.","Si è verificato un errore durante l\'eliminazione di questa aliquota fiscale."
"Import and Export Tax Rates","Importa ed esporta aliquote fiscali"
"The tax rate has been imported.","L\'aliquota fiscale è stata importata."
"Invalid file upload attempt","Tentativo di caricamento file non valido."
"Tax Rules","Regole tasse"
"New Tax Rule","Nuova regola tassa"
"The tax rule has been saved.","La regola tassa è stata salvata."
"Something went wrong saving this tax rule.","Qualcosa è andato storto durante il salvataggio di questa regola tassa."
"This rule no longer exists.","Questa regola non esiste più."
"The tax rule has been deleted.","La regola tassa è stata eliminata."
"Something went wrong deleting this tax rule.","Qualcosa è andato storto durante l\'eliminazione di questa regola tassa."
"Something went wrong saving this tax class.","Qualcosa è andato storto durante il salvataggio di questa classe tassa."
"Something went wrong deleting this tax class.","Qualcosa è andato storto durante l\'eliminazione di questa classe tassa."
"Please fill all required fields with valid information.","Riempire tutti i campi con informazioni corrette."
"Rate Percent should be a positive number.","La percentuale dell\'aliquota deve essere un numero positivo."
"Maximum zip code length is 9.","La lunghezza massima del codice postale è 9."
"Zip code should not contain characters other than digits.","Il codice postale non deve contenere caratteri diversi dai numeri."
"Range To should be equal or greater than Range From.","Intervallo a deve essere uguale o maggiore di Intervallo da."
"This class no longer exists.","Questa classe non esiste più."
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.","Non puoi eliminare questa classe tassa perché è utilizzata nelle regole tassa. Devi prima eliminare le regole che la utilizzano."
"You cannot delete this tax class because it is used in existing %1(s).","Non puoi eliminare questa classe tassa perché è utilizzata in %1(s)."
"Custom price if available","Prezzo personalizzato se disponibile"
"Original price only","Solo prezzo originale"
"Shipping Origin","Origine spedizione"
"No (price without tax)","No (prezzo senza tasse)"
"Yes (only price with tax)","Sì (solo prezzo con tasse)"
"Both (without and with tax)","Entrambi (con e senza tasse)"
"Grand Total (Excl. Tax)","Totale (tasse escluse)"
"Grand Total (Incl. Tax)","Totale (tasse incluse)"
"Shipping (Excl. Tax)","Spedizione (tasse escluse)"
"Shipping (Incl. Tax)","Spedizione (tasse incluse)"
"Before Discount","Prima dello sconto"
"After Discount","Dopo lo sconto"
"Excluding Tax","Escludendo le tasse"
"Including Tax","Includendo le tasse"
"Including and Excluding Tax","Includendo ed escludendo le tasse"
"Warning tax configuration can result in rounding errors. ","Attenzione, la configurazione tassa può avere come risultato un errore di arrotondamento."
"Store(s) affected: ","Negozi interessati:"
"Click on the link to <a href=""%1"">ignore this notification</a>","Clicca sul link per <a href=""%1"">ignorare questa notifica</a>"
"Warning tax discount configuration might result in different discounts
                                than a customer might expect. ","Attenzione la configurazione sconto tassa può avere come risultato sconti diversi
                                Rispetto a quelli che un cliente potrebbe aspettarsi. "
"Please see <a href=""%1"">documentation</a> for more details. ","Consultare la <a href=""%1"">documentazione</a> per maggiori dettagli. "
"Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings.","Clicca qui per andare <a href=""%1"">alla configurazione tasse</a> e cambiare le tue impostazioni."
"customer group","gruppo cliente"
"product","prodotto"
"Import Tax Rates","Importa aliquote fiscali"
"Export Tax Rates","Esporta aliquote fiscali"
"Note:","Nota:"
"Leave this field empty if you wish to use the tax identifier.","Lascia questo campo vuoto se desideri usare l\'identificatore tassa."
"Do you really want to delete this tax rate?","Sei sicuro di voler eliminare questa aliquota fiscale?"
"Add New Class","Aggiungi nuova classe"
"Default Country","Paese predefinito"
"Tax Calculation Based On","Calcolo tasse basato su"
"Tax Classes","Classi tassa"
"Tax Class for Shipping","Classe tassa per spedizione"
"Default Tax Class for Product","Classe tassa predefinita per prodotto"
"Default Tax Class for Customer","Classe tassa predefinita per cliente"
"Calculation Settings","Impostazioni di calcolo"
"Tax Calculation Method Based On","Metodo calcolo tasse basato su"
"Catalog Prices","Prezzi del catalogo"
"This sets whether catalog prices entered by admin include tax.","Questo definisce se i prezzi del catalogo inseriti dall'amministratore includono le tasse."
"Shipping Prices","Prezzi di spedizione"
"This sets whether shipping amounts entered by admin or obtained from gateways include tax.","Questo definisce se i prezzi di spedizione inseriti dall'amministratore o ottenuti dai gateway includono le tasse."
"Apply Customer Tax","Applica tasse cliente"
"Apply Discount On Prices","Applica sconto sul prezzo"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Applica sconto al prezzo includendo le tasse è calcolato sulle tasse del negozio, se ""Applica tasse dopo lo sconto"" è selezionato."
"Apply Tax On","Applica tasse su"
"Enable Cross Border Trade","Abilita commercio oltre la frontiera"
"When catalog price includes tax, enable this setting will fix the price no matter what the customer's tax rate is.","Quando il catalogo prezzi include le tasse, abilitare questa impostazione correggerà il prezzo indipendentemente dall'aliquota fiscale del cliente."
"Default Tax Destination Calculation","Calcolo tassa in base alla destinazione predefinito"
"Default State","Stato predefinito"
"Default Post Code","Codice postale predefinito"
"Price Display Settings","Impostazioni visualizzazione prezzo"
"Display Product Prices In Catalog","Mostra prezzi prodotto nel catalogo"
"Display Shipping Prices","Mostra costi di spedizione"
"Shopping Cart Display Settings","Impostazioni visualizzazione carrello"
"Display Prices","Mostra prezzi"
"Display Subtotal","Mostra subtotale"
"Display Shipping Amount","Mostra costi di spedizione"
"Include Tax In Grand Total","Includi tasse nel totale"
"Display Full Tax Summary","Mostra sommario completo tasse"
"Display Zero Tax Subtotal","Mostra subtotale zero tasse"
"Orders, Invoices, Credit Memos Display Settings","Impostazioni di visualizzazione ordini, fatture, note di credito"
"State/Region","Stato/regione"
"Subtotal Only","Solo subtotale"
