"Remove","Rimuovi"
"Close","Chiudi"
"Delete File","Elimina file"
"-- Please Select --","-- Selezionare --"
"General","Generale"
"Save and Continue Edit","Salva e continua la modifica"
"About the calendar","Riguardo al calendario"
"Go Today","Vai a oggi"
"Previous","Precedente"
"Next","Successivo"
"WK","WK"
"Time","Tempo"
"Hour","Ora"
"Minute","Minuto"
"per page","per pagina"
"Page","Pagina"
"label","Etichetta"
"Empty","Vuoto"
"Close Window","Chiudi finestra"
"%1 Item","%1 articolo"
"%1 Item(s)","%1 articoli"
"Show","Mostra"
"Media Storage","Archivio media"
"Delete Folder","Elimina cartella"
"Insert File","Inserisci file"
"New Folder Name:","Nome nuova cartella:"
"Are you sure you want to delete this folder?","Sei sicuro di voler eliminare questa cartella?"
"Are you sure you want to delete this file?","Sei sicuro di voler eliminare questo file?"
"Storage Root","Root archivio"
"We cannot upload the file.","Impossibile caricare il file."
"We cannot delete root directory %1.","Impossibile eliminare la directory di root %1."
"Theme","Tema"
"Custom CSS","CSS personalizzato"
"Select JS Files to Upload","Selezionare il file JS da caricare"
"Header","Header"
"Are you sure you want to delete this theme?","Sei sicuro di voler eliminare questo tema?"
"Sorry, there was an unknown error.","Si è verificato un errore sconosciuto."
"We cannot upload the CSS file.","Impossibile caricare il file CSS."
"We cannot upload the JS file.","Impossibile caricare il file JS."
"Browse Files","Sfoglia file"
"Create Folder","Crea cartella"
"Report All Bugs","Segnala tutti i bug"
"(ver. %1)","(ver. %1)"
"Welcome, %1!","Benvenuto, %1!"
"Add New Theme","Aggiungi un nuovo tema"
"Themes","Temi"
"Theme: %1","Tema: %1"
"New Theme","Nuovo tema"
"Theme CSS","CSS tema"
"Theme CSS Assets","Risorse CSS tema"
"Select CSS File to Upload","Seleziona il file CSS da caricare"
"Upload CSS File","Carica file CSS"
"Download CSS File","Scarica file CSS"
"Manage","Gestisci"
"Upload Images","Carica immagini"
"Images Assets","Risorse immagini"
"Upload Fonts","Carica font"
"Fonts Assets","Risorse font"
"Edit custom.css","Modifica custom.css"
"Allowed file types *.css.","Tipi file consentiti *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","Questo file sostituirà il file custom.css corrente e non può essere più grande di 2 MB."
"Max file size to upload %1M","Dimensione massima per il caricamento %1M"
"Something is wrong with the file upload settings.","Qualcosa non è corretto nelle opzioni di caricamento file."
"CSS Editor","Editor CSS"
"Theme Settings","Impostazioni tema"
"Parent Theme","Tema parente"
"Theme Path","Percorso tema"
"Theme Version","Versione tema"
"Example: 0.0.0.1 or 123.1.0.25-alpha1","Esempio: 0.0.0.1 or 123.1.0.25-alpha1"
"Theme Title","Titolo tema"
"Theme Preview Image","Immagine anteprima tema"
"Copy of %1","Copia di %1"
"Max image size %1M","Dimensione massima immagine %1M"
"Theme JavaScript","Tema JavaScript"
"Upload JS Files","Carica file JavaScript"
"JS Editor","Editor JS"
"Allowed file types *.js.","Tipi di file consentiti *.js."
"We cannot find theme ""%1"".","Impossibile trovare il tema ""%1""."
"We cannot find the theme.","Impossibile trovare il tema."
"Theme isn't editable.","Il tema non è modificabile."
"You saved the theme.","Tema salvato."
"You deleted the theme.","Tema eliminato."
"We cannot delete the theme.","Impossibile eliminare il tema."
"We cannot find a theme with id ""%1"".","Impossibile trovare il tema con ID ""%1""."
"We cannot find file","Impossibile trovare il file"
"File not found: ""%1"".","File non trovato: ""%1""."
"The CSS file must be less than %1M.","Il file CSS deve essere più piccolo di %1M."
"The JS file must be less than %1M.","Il file JS deve essere più piccolo di %1M."
"Use only standard alphanumeric, dashes and underscores.","Utilizzare solo alfanumerici standard, trattini e underscore."
"We found a directory with the same name.","È stata trovata una directory con lo stesso nome."
"We cannot find a directory with this name.","Impossibile trovare una directory con questo nome."
"We found no files.","Nessun file trovato."
"Help Us to Keep Magento Healthy","Aiutaci a mantenere Magento in salute"
"Toggle Nav","Toggle Nav"
"JavaScript seems to be disabled in your browser.","Sembra che JavaScript sia disabilitato nel tuo browser."
"Enable JavaScript in your browser to get the best experience on our website!","Abilita JavaScript nel tuo browser per avere una migliore esperienza sul nostro sito!"
"Local Storage seems to be disabled in your browser.","Sembra che nel tuo browser l\'archivio locale sia disabilitato."
"Enable Local Storage in your browser to get the best experience on our website!","Abilita l\'archivio locale nel tuo browser per avere una migliore esperienza sul nostro sito!"
"This is demo store. All orders will not be transferred.","Questo è un negozio di prova. Gli ordini non verranno elaborati."
"We use cookies to make your experience better.","Utilizziamo i cookie per rendere la tua esperienza migliore."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Per ottemperare alla nuova direttiva sulla e-Privacy, ti chiediamo di il consenso all\'utilizzo dei cookie."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Scopri di più</a>."
