"Close","Chiudi"
"Cancel","Cancella"
"Add Products","Aggiungi prodotti"
"No","No"
"Delete File","Elimina file"
"Delete","Elimina"
"Save","Salva"
"Yes","Sì"
"Please select items.","Seleziona articoli."
"Submit","Invia"
"Error","Errore"
"Please wait...","Attendere prego..."
"Please select an option.","Seleziona un\'opzione."
"This is a required field.","Campo obbligatorio."
"Please enter a valid number in this field.","Inserire un numero in questo campo."
"Please enter a valid date.","Inserire una data valida."
"Please make sure your passwords match.","Assicurati che le password coincidano."
"Please enter a valid zip code.","Inserire un codice postale valido."
"Please select State/Province.","Selezionare uno Stato/provincia."
"Please enter a number greater than 0 in this field.","Inserire un numero maggiore di 0 in questo campo."
"Please enter a valid credit card number.","Inserire un numero di carta di credito valido."
"Please wait, loading...","Attendere prego, caricamento..."
"No records found.","Nessun risultato trovato."
"Loading...","Caricamento..."
"OK","OK"
"New Option","Nuova opzione"
"Import","Importa"
"start typing to search category","Inizia a digitare per cercare la categoria."
"Please enter a number 0 or greater in this field.","Inserire un numero uguale o maggiore a 0 in questo campo."
"The From Date value should be less than or equal to the To Date value.","Il valore di Dalla data deve essere minore od uguale al valore di Alla data."
"select all","Seleziona tutto"
"Allow","Consenti"
"Please specify at least one search term.","Specificare almeno un termine di ricerca."
"Delete Folder","Elimina cartella"
"Folder","Cartella"
"Are you sure you want to delete this address?","Sei sicuro di voler eliminare questo indirizzo?"
"Sorry, there was an unknown error.","Si è verificato un errore sconosciuto."
"Activate","Attivato"
"Reauthorize","Ri-autorizzare"
"Create New Wish List","Crea una nuova lista dei desideri"
"Please enter a valid credit card verification number.","Inserire un numero di verifica della carta di credito valido."
"Edit Order","Modifica ordine"
"Please specify a shipping method.","Specificare un metodo di spedizione"
"Complete","Completo"
"Upload Security Error","Errore di sicurezza caricamento"
"Upload HTTP Error","Errore caricamento HTTP"
"Upload I/O Error","Errore caricamento I/O"
"SSL Error: Invalid or self-signed certificate","Errore SSL: certificato non valido o auto firmato."
"TB","TB"
"GB","GB"
"MB","MB"
"kB","kB"
"B","B"
"Add Products By SKU","Aggiungi prodotti in base allo SKU"
"Insert Widget...","Inserisci widget..."
"HTML tags are not allowed","I tag HTML non sono ammessi"
