"None","Nessuno"
"Sort Order","Ordinamento"
"Title","Titolo"
"label","Etichetta"
"Password","Password"
"Pounds","Pounds"
"Kilograms","Kilogrammi"
"Ground","Terra"
"Not Required","Non obbligatorio"
"status","status"
"Empty response","Risposta vuota"
"Mode","Modo"
"UPS Next Day Air","UPS Next Day Air"
"UPS Second Day Air","UPS Second Day Air"
"UPS Ground","UPS Ground"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Standard","UPS Standard"
"UPS Three-Day Select","UPS Three-Day Select"
"UPS Next Day Air Saver","UPS Next Day Air Saver"
"UPS Next Day Air Early A.M.","UPS Next Day Air Early A.M."
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Second Day Air A.M.","UPS Second Day Air A.M."
"UPS Saver","UPS Saver"
"UPS Worldwide Saver","UPS Worldwide Saver"
"UPS Express","UPS Express"
"UPS Expedited","UPS Expedited"
"UPS Express Early A.M.","UPS Express Early A.M."
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"UPS Today Standard","UPS Today Standard"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Express","UPS Today Express"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Express Plus","UPS Express Plus"
"Next Day Air Early AM","Next Day Air Early AM"
"Next Day Air Early AM Letter","Next Day Air Early AM Letter"
"Next Day Air","Next Day Air"
"Next Day Air Letter","Next Day Air Letter"
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra (Puerto Rico)"
"Next Day Air Saver","Next Day Air Saver"
"Next Day Air Saver Letter","Next Day Air Saver Letter"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air","2nd Day Air"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Select","3 Day Select"
"Ground Commercial","Ground Commercial"
"Ground Residential","Ground Residential"
"Canada Standard","Canada Standard"
"Worldwide Express","Worldwide Express"
"Worldwide Express Saver","Worldwide Express Saver"
"Worldwide Express Letter","Worldwide Express Letter"
"Worldwide Express Plus","Worldwide Express Plus"
"Worldwide Express Plus Letter","Worldwide Express Plus Letter"
"Worldwide Expedited","Worldwide Expedited"
"Customer Packaging","Customer Packaging"
"UPS Letter Envelope","UPS Letter Envelope"
"Customer Supplied Package","Customer Supplied Package"
"UPS Tube","UPS Tube"
"PAK","PAK"
"UPS Express Box","UPS Express Box"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
"Pallet","Pallet"
"Small Express Box","Small Express Box"
"Medium Express Box","Medium Express Box"
"Large Express Box","Large Express Box"
"Residential","Residential"
"Commercial","Commercial"
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","Qualcosa è andato storto. Riprova o contattaci."
"We can't convert a rate from ""%1-%2"".","Impossibile convertire una tariffa da ""%1-%2""."
"Cannot retrieve shipping rates","Impossibile recuperare tariffe di spedizione"
"error_message","error_message"
"Delivery Confirmation","Conferma consegna"
"Signature Required","Firma obbligatoria"
"Adult Signature Required","Firma di un adulto obbligatoria"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"User ID","User ID"
"Container","Contenitore"
"Debug","Debug"
"Gateway URL","Gateway URL"
"Enabled for Checkout","Abilita per il checkout"
"Calculate Handling Fee","Calcola costi di gestione"
"Handling Applied","Gestione applicata"
"Handling Fee","Costi di gestione"
"Weight Unit","Unità di misura peso"
"Allowed Methods","Metodi consentiti"
"Displayed Error Message","Messaggio di errore mostrato"
"Free Method","Metodo gratis"
"Free Shipping Amount Threshold","Soglia importo spedizione gratuita"
"Ship to Applicable Countries","Spedisci ai paesi per il quale è applicabile"
"Ship to Specific Countries","Spedisci a paesi specifici"
"Show Method if Not Applicable","Mostra il metodo se non applicabile"
"Packages Request Type","Tipo richiesta pacchetti"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Peso massimo pacchetto (contattare il corriere per il peso massimo supportato per la spedizione)"
"UPS","UPS"
"Access License Number","Numero licenza accesso"
"Destination Type","Tipo desinazione"
"Gateway XML URL","Gateway XML URL"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Peso minimo pacchetto (contattare il corriere per il peso minimo supportato per la spedizione)"
"Origin of the Shipment","Origine della spedizione"
"Pickup Method","Metodo di ritiro"
"Tracking XML URL","URL XML tracciamento"
"UPS Type","Tipo UPS"
"Live account","Live account"
"Enable Negotiated Rates","Abilita tariffe negoziate"
"Shipper Number","Numero spedizioniere"
"Required for negotiated rates; 6-character UPS","Obbligato per tariffe negoziate; 6-caratteri UPS"
"This enables or disables SSL verification of the Magento server by UPS.","Abilita o disabilita verifica SSL del server Magento per conto di UPS."
