"Custom","Personalizzato"
"Back","Indietro"
"ID","ID"
"SKU","SKU"
"No","No"
"Custom","Personalizzato"
"Back","Indietro"
"ID","ID"
"SKU","SKU"
"No","No"
"Action","Azione"
"Reset","Reset"
"Edit","Modifica"
"Two and more slashes together are not permitted in request path","Due o più slash di seguito non sono permessi nel percorso richiesto"
"Anchor symbol (#) is not supported in request path","Il simbolo di ancoraggio (#) non è supportato nel percorso richiesto"
"Request Path for Specified Store","Richiesta percorso per negozio specificato"
"Temporary (302)","Temporaneo (302)"
"Permanent (301)","Permanente (301)"
"Edit URL Rewrite for a Category","Modifica URL rewrite per una categoria"
"Add URL Rewrite for a Category","Aggiungi URL rewrite per una categoria"
"Category:","Categoria:"
"We can't set up a URL rewrite because the product you chose is not associated with a website.","Non è possibile impostare un URL rewrite perché il prodotto scelto non è associato a nessun sito web."
"We can't set up a URL rewrite because the category your chose is not associated with a website.","Non è possibile impostare un URL rewrite perché la categoria scelta non è associata a nessun sito web."
"Edit URL Rewrite for a Product","Modifica URL rewrite per un prodotto"
"Add URL Rewrite for a Product","Aggiungi URL rewrite per un prodotto"
"Product:","Prodotto:"
"Skip Category Selection","Salta selezione categoria"
"Name","Nome"
"Status","Status"
"Edit URL Rewrite for CMS page","Modifica URL rewrite per una pagina CMS"
"Add URL Rewrite for CMS page","Aggiungi URL rewrite per una pagina CMS"
"CMS page:","Pagina CMS:"
"Chosen cms page does not associated with any website.","La pagina CMS scelta non è associata a nessun sito web."
"Title","Titolo"
"URL Key","URL Key"
"Store View","Vista negozio"
"Edit URL Rewrite","Modifica URL rewrite"
"Add New URL Rewrite","Aggiungi nuovo URL rewrite"
"Delete","Elimina"
"Are you sure you want to do this?","Sei sicuro di volerlo fare?"
"Save","Salva"
"Block Information","Informazioni blocco"
"URL Rewrite Information","Informazioni URL rewrite"
"Request Path","Percorso richiesto"
"Target Path","Percorso bersaglio"
"Redirect","Reindirizzamento"
"Description","Descrizione"
"Store","Negozio"
"URL Rewrite Management","Gestione URL rewrite"
"Add URL Rewrite","Aggiungi un URL rewrite"
"For category","Per categoria"
"For product","Per prodotto"
"For CMS page","Per pagina CMS"
"Create URL Rewrite:","Crea URL rewrite:"
"URL Rewrites","URL Rewrites"
"[New/Edit] URL Rewrite","[Nuovo/Modifica] URL Rewrite"
"The URL Rewrite has been saved.","L\'URL rewrite è stato salvato."
"An error occurred while saving URL Rewrite.","Si è verificato un errore durante il salvataggio dell\'URL rewrite."
"The URL Rewrite has been deleted.","L\'URL rewrite è stato eliminato."
"An error occurred while deleting URL Rewrite.","Si è verificato un errore durante l\'eliminazione dell\'URL rewrite."
"Select Category","Seleziona categoria"
"Options","Opzioni"
