"All","Tutto"
"Custom","Personalizzato"
"Resource Access","Accesso risorse"
"Resources","Risorse"
"API","API"
"Internal Error. Details are available in Magento log file. Report ID: %1","Errore interno. I dettagli sono disponibili nel file di log di Magento. ID resoconto: %1"
"Server internal error. See details in report api/%1","Errore interno server. Vedi i dettagli nel resoconto api/%1"
"Magento is not yet installed","Magento non è stato ancora installato."
"Operation allowed only in HTTPS","Operazione consentita solo in HTTPS"
"Content-Type header is empty.","Il tipo header corrente è vuoto."
"Content-Type header is invalid.","Il tipo header corrente non è valido."
"UTF-8 is the only supported charset.","UTF-8 è l'unico set di caratteri supportato."
"Request method is invalid.","Metodo richiesto non valido."
"Decoding error.","Decodificazione errore."
"Decoding error: %1%2%3%4","Decodificazione errore: %1%2%3%4"
"Server cannot match any of the given Accept HTTP header media type(s) from the request: ""%1 with media types from the config of response renderer.","Il server non può associare nessuno, tra quelli forniti, tipo media header HTTP accettati dalla richiesta: ""%1 con tipi media dalla configurazione della risposta resa."
"Request does not match any route.","La richiesta non corrisponde a nessun percorso."
"Not allowed parameters: %1. Please use only %2 and %3.","Parametri non consentiti: %1. Utilizzare solo %2 e %3."
"Incorrect format of WSDL request URI or Requested services are missing.","Formato non corretto di WSDL URI richiesto o servizi richiesti mancanti."
"Operation ""%1"" not found.","Operazione ""%1"" non trovata."
"Requested service is not available: ""%1""","Servizi richiesti non disponibili: ""%1"""
"Invalid XML","XML non valido"
"Invalid XML: Detected use of illegal DOCTYPE","XML non valido: riscontrato un utilizzo di un DOCTYPE illegale"
"No permissions requested","Nessun permesso richiesto"
"Available APIs","API disponibili"
"Magento Web API","Magento Web API"
"SOAP Settings","Impostazioni SOAP"
"Default Response Charset","Set di caratteri di risposta predefinito"
"If empty, UTF-8 will be used.","Se vuoto, verrà utilizzato UTF-8."
"Enable WSDL Cache","Abilita cache WSDL"
"Web Services Configuration","Configurazione servizi Web"
"REST and SOAP configurations, generated WSDL file.","Configurazioni REST e SOAP, file WSDL generato."
"Integrations API Configuration","Configurazione integrazioni API."
"Integrations API configuration file.","File configurazione integrazioni API."
