"Read Details","Leggi Dettagli"
"Mark as Read","Contrassegna come letto"
"Are you sure?","Sei sicuro?"
Remove,Rimuovi
"Messages Inbox","Messaggi in arrivo"
"You have %1 new system messages","Hai %1 nuovi messaggi di sistema"
"You have %1 new system message","Hai %1 nuovo messaggio di sistema"
"Incoming Message","Messaggio in arrivo"
close,chiudi
"Read details","Leggi dettagli"
Notifications,Notifiche
"The message has been marked as Read.","Il messaggio è stato contrassegnato come letto."
"We couldn't mark the notification as Read because of an error.","Non è possibile contrassegnare questa notifica come Letta a causa di un errore."
"Please select messages.","Seleziona Messaggi."
"A total of %1 record(s) have been marked as Read.","%1 record sono stati contrassegnati come letti."
"The message has been removed.","Il messaggio è stato rimosso."
"We couldn't remove the messages because of an error.","Non è possibile rimuovere il messaggio a causa di un errore."
"Total of %1 record(s) have been removed.","%1 record sono stati rimossi."
"1 Hour","1 Ora"
"2 Hours","2 Ore"
"6 Hours","6 Ore"
"12 Hours","12 Ore"
"24 Hours","24 Ore"
critical,critico
major,principale
minor,secondaria
notice,notifica
"Wrong message type","Tipo messaggio errato"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} non è raccomandato per l'uso in ambiente di produzione per dichiarare la Base URL Non sicura / Base URL Sicura. Si consiglia vivamente di cambiare questo valore nella <a href=""%1"">configurazione</a> di Magento."
"One or more of the Cache Types are invalidated: %1. ","Una o più Cache Types sono state invalidate: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Vai in <a href=""%1"">Gestione Cache</a> e aggiorna le cache types."
"One or more media files failed to be synchronized during the media storages synchronization process. Refer to the log file for details.","Uno o più file media non sono stati sincronizzati durante il processo di sincronizzazione del Media Storage. Fai riferimento ai log per i dettagli."
"Synchronization of media storages has been completed.","Sincronizzazione della Media Storage completata."
"Your web server is configured incorrectly. As a result, configuration files with sensitive information are accessible from the outside. Please contact your hosting provider.","Il tuo web server non è configurato correttamente. Come conseguenza, i file con informazioni sensibili sono accessibili dall'esterno. Contatta il tuo Hosting Provider."
"We appreciate our merchants' feedback. Please <a href=""#"" data-mage-init=%1>take our survey</a> and tell us about features you'd like to see in Magento.","Noi apprezziamo il feedback dei nostri Merchant. <a href=""#"" data-mage-init=%1>Partecipa al nostro sondaggio</a> e facci sapere quale feature vorresti vedere in Magento."
"Close popup","Chiudi popup"
Close,Chiudi
"Critical System Messages","Messaggi Critici di Sistema"
"Major System Messages","Messaggi Principali di Sistema"
"System messages","Messaggi di sistema"
Notification,Notifiche
Cancel,cancella
Acknowledge,Riconoscimenti
"See All (%1 unread)","Vedi Tutti (%1 non letti)"
Actions,Azioni
Message,Messaggio
"Use HTTPS to Get Feed","Usa HTTPS per ricevere Feed"
"Update Frequency","Frequenza di Aggiornamento"
"Last Update","Ultimo Aggiornamento"
Severity,Gravità
"Date Added","Data di inserimento"
