Custom,Personalizzato
"Are you sure?","Sei sicuro?"
Close,Chiudi
Cancel,Cancella
Back,Indietro
Product,Prodotto
Price,Prezzo
Quantity,Quantità
ID,ID
SKU,SKU
Customers,Clienti
No,No
Subtotal,Subtotale
Discount,Sconto
Action,Azione
"Excl. Tax","Escl. Tasse"
Total,Totale
"Incl. Tax","Incl. Tasse"
"Total incl. tax","Totale incl. tasse"
Reset,Reset
Edit,Modifica
"What is this?","Che cos'è?"
"Invalid Form Key. Please refresh the page.","Form Key non valida. Aggiorna la pagina."
"You entered an invalid Secret Key. Please refresh the page.","Hai inserito una Secret Key non valida. Aggiorna la pagina."
"Cache Storage Management","Gestione Cache Storage"
"Flush Magento Cache","Svuota Cache Magento"
"Cache storage may contain additional data. Are you sure that you want flush it?","La Cache storage può contenere dati aggiuntivi. Sei sicuro di volerla svuotare?"
"Flush Cache Storage","Svuota Cache Storage"
Invalidated,Invalidata
Orders,Ordini
Amounts,Importi
Bestsellers,Più Venduti
"Most Viewed Products","Prodotti più venduti"
"New Customers","Nuovi Clienti"
Customer,Cliente
Guest,Ospite
Items,Elementi
"Grand Total","Somma Totale"
"Lifetime Sales","Vendite dall'inizio dell'attività"
"Average Orders","Media Ordini"
"Search Term","Termini di Ricerca"
Results,Risultati
Uses,Usi
Average,Media
"Order Quantity","Quantità Ordine"
Views,Visualizzazioni
Revenue,Rendita
Tax,Tassa
Shipping,Spedizione
"Images (.gif, .jpg, .png)","Immagini (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Media (.avi, .flv, .swf)"
"All Files","Tutti i File"
"Interface Language","Lingua Interfaccia"
"Reset to Default","Ripristina di Default"
"All Store Views","Tutte le Viste Negozio"
"Save Account","Salva Account"
"My Account","Il Mio Account"
"Account Information","Informazioni Account"
"User Name","Nome Utente"
"First Name","Nome"
"Last Name","Cognome"
Email,Email
"User Email","Email Utente"
"New Password","Nuova Password"
"Password Confirmation","Conferma Password"
"Interface Locale","Interfaccia Locale"
"Save Cache Settings","Salva Impostazioni Cache"
"Catalog Rewrites","Rewrites Catalogo"
Refresh,Aggiorna
"Images Cache","Cache Immagini"
Clear,Cancella
"Search Index","Indice Ricerca"
Rebuild,Ricostruisci
"Inventory Stock Status","Stato Inventario"
"Rebuild Catalog Index","Ricostruisci Indice Catalogo"
"Rebuild Flat Catalog Category","Ricostruisci Catalogo Flat Categorie"
"Rebuild Flat Catalog Product","Ricostruisci Catalogo Flat Prodotti"
"Cache Control","Controllo Cache"
"All Cache","Tutta la Cache"
"No change","Nessun Cambiamento"
Disable,Disattiva
Enable,Attiva
"Default Config","Config Default"
"Save Config","Salva Config"
[GLOBAL],[GLOBALE]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[VISTA NEGOZIO]"
"Use Default","Usa Default"
"Use Website","Usa Website"
Add,Aggiungi
"Delete File","Elimina File"
"Search String","Cerca Stringa"
"Design Theme","Tema"
"Add \Exception","Aggiungi \Exception"
"-- No Theme --","-- Nessun Tema --"
Synchronize,Sincronizza
Configuration,Configurazione
"Add Design Change","Aggiungi variazione Design"
Delete,Elimina
Save,Salva
"Edit Design Change","Modifica variazione Design"
"New Store Design Change","Nuova Variazione Design Negozio"
"General Settings","Impostazioni Generali"
Store,Negozio
"-- Please Select --","-- Seleziona --"
"Custom Design","Design Personalizzato"
"Date From","Da"
"Date To","A"
"Design Change","Variazione Design"
General,Generale
"Delete %1 '%2'","Elimina %1 '%2'"
"Delete %1","Elimina %1"
"Block Information","Informazione Blocco"
"Backup Options","Opzioni Backup"
"Create DB Backup","Crea Backup DB"
Yes,Si
"Delete Store","Elimina Negozio"
"Delete Web Site","Elimina Web Site"
"Save Web Site","Salva Web Site"
"Save Store","Salva Negozio"
"Save Store View","Salva Vista Negozio"
"Delete Store View","Elimina Vista Negozio"
"Edit Web Site","Modifica Web Site"
"New Web Site","Nuovo Web Site"
"Edit Store","Modifica Negozio"
"New Store","Nuovo Negozio"
"Edit Store View","Modifica Vista Negozio"
"New Store View","Nuova Vista Negozio"
"Store Information","Informazioni Negozio"
"Web Site","Web Site"
Name,Nome
"Root Category","Categoria di Root"
"Default Store View","Vista Negozio di Default"
"Store View Information","Informazioni Vista Negozio"
Code,Codice
Status,Status
Disabled,Disattivato
Enabled,Attivato
"Sort Order","Tipo Ordinamento"
"Web Site Information","Informazioni Web Site"
"Default Store","Negozio Default"
"Set as Default","Imposta come Default"
Stores,Negozi
"Create Website","Crea Website"
"Create Store","Crea Negozio"
"Create Store View","Crea Vista Negozio"
"Custom Variables","Variabili Personalizzate"
"Add New Variable","Aggiungi Nuova Variabile"
"Save and Continue Edit","Salva e Continua Modifiche"
"Custom Variable ""%1""","Variabile Personalizzata ""%1"""
"New Custom Variable","Nuova Variabile Personalizzata"
Variable,Variabile
"Variable Code","Codice Variabile"
"Variable Name","Nome Variabile"
"Use Default Variable Values","Usa Valori di Default Variabile"
"Variable HTML Value","Valore HTML Variabile"
"Variable Plain Value","Valore Variabile Semplice"
"URL Rewrite Management","Gestione URL Rewrite"
"Add URL Rewrite","Aggiungi URL Rewrite"
"Edit URL Rewrite for a Category","Modifica URL Rewrite per una Categoria"
"Add URL Rewrite for a Category","Aggiungi URL Rewrite per una Categoria"
Category:,Categoria:
"We can't set up a URL rewrite because the product you chose is not associated with a website.","Non è possibile impostare una URL rewrite perchè il prodotto che hai scelto non è associato con un website."
"We can't set up a URL rewrite because the category your chose is not associated with a website.","Non è possibile impostare una URL rewrite perchè la categoria che hai scelto non è associata con un website."
"Edit URL Rewrite for a Product","Modifica URL Rewrite per un Prodotto"
"Add URL Rewrite for a Product","Aggiungi URL Rewrite per un Prodotto"
Product:,Prodotto:
"Skip Category Selection","Salta Selezione Categoria"
"Edit URL Rewrite for CMS page","Modifica URL Rewrite per una pagina CMS"
"Add URL Rewrite for CMS page","Aggiungi URL Rewrite per una pagina CMS"
"CMS page:","Pagina CMS:"
"Chosen cms page does not associated with any website.","La pagina CMS scelta non è associata a nessun website."
Title,Titolo
"URL Key","URL Key"
"Store View","Vista Negozio"
"Edit URL Rewrite","Modifica URL Rewrite"
"Add New URL Rewrite","Aggiungi Nuova URL Rewrite"
"Are you sure you want to do this?","Sei sicuro di voler procedere?"
"URL Rewrite Information","Informazioni URL Rewrite"
Type,Tipo
"ID Path","ID Percorso"
"Request Path","Percorso Richiesto"
"Target Path","Percorso di destinazione"
Redirect,Redirect
Description,Descrizione
"For category","Per categoria"
"For product","Per prodotto"
"For CMS page","Per pagina CMS"
"Create URL Rewrite:","Crea URL Rewrite:"
"Global Attribute","Attributo Globale"
"This attribute shares the same value in all stores.","Questo attributo condivide lo stesso valore in tutti i negozi"
Home,Home
"Add New Image","Aggiungi Nuova Immagine"
"Reset Filter","Reset Filtri"
Search,Cerca
Any,qualsiasi
"All Countries","Tutti i Paesi"
From,Da
To,A
"Date selector","Selettore Data"
"[ deleted ]","[ eliminato ]"
"Select All","Seleziona Tutto"
" [deleted]"," [eliminato]"
"We couldn't find any records.","Non è stato trovato nessun registro."
"Add New","Aggiungi Nuovo"
Export,Esportazione
"Please correct the column format and try again.","Correggi il formato della colonna e riprova."
"Please select items.","Seleziona elementi."
Submit,Invia
"Please correct the tab configuration and try again.","Correggi la configurazione della tab e riprova."
"You have logged out.","Hai eseguito il logout."
"Cache Management","Gestione Cache"
"You flushed the cache storage.","Hai svuotato la cache storage."
"The Magento cache storage has been flushed.","La cache storage di Magento è stata svuotata."
"%1 cache type(s) enabled.","%1 tipi di cache attivati."
"An error occurred while enabling cache.","Errore comparso durante l'attivazione della cache."
"%1 cache type(s) disabled.","%1 tipi di cache disattivati."
"An error occurred while disabling cache.","Errore comparso durante la disattivazione della cache."
"%1 cache type(s) refreshed.","%1 tipi di cache aggiornati."
"An error occurred while refreshing cache.","Errore comparso durante l'aggiornamento della cache."
"Specified cache type(s) don't exist: ","I tipi di cache specificati non esistono: "
"The JavaScript/CSS cache has been cleaned.","La Cache JavaScript/CSS è stata svuotata."
"An error occurred while clearing the JavaScript/CSS cache.","Errore comparso durante la pulizia della cache JavaScript/CSS."
"The image cache was cleaned.","La Cache immagini è stata svuotata."
"An error occurred while clearing the image cache.","Errore comparso durante la pulizia della cache immagini."
Dashboard,Dashboard
"invalid request","richiesta non valida"
"see error log for details","vedi gli error log per i dettagli"
"Service unavailable: %1","Servizio non disponibile: %1"
Error,Errore
"Access Denied","Accesso Negato"
"You need more permissions to do this.","Hai bisogno di maggiori permessi per eseguire questa azione."
"No search modules were registered","No search modules were registered"
"Please make sure that all global admin search modules are installed and activated.","Please make sure that all global admin search modules are installed and activated."
System,Sistema
"The account has been saved.","L'account è stato salvato."
"An error occurred while saving account.","Errore comparso durante il salvataggio dell'account."
"This section is not allowed.","Questa sezione non è permessa.."
"You saved the configuration.","Hai salvato la configurazione."
"An error occurred while saving this configuration:","Errore comparso durante il salvataggio di questa configurazione:"
"Synchronizing %1 to %2","Sincronizzazione %1 di %2"
Synchronizing...,Sincronizzazione...
"The timeout limit for response from synchronize process was reached.","Il limite di Timeout perla risposta dalla sincronizzazione è stato raggiunto."
"Store Design","Design Negozio"
"Edit Store Design Change","Modifica Variazione Design Negozio"
"You saved the design change.","Hai salvato la variazione di design."
"You deleted the design change.","Hai eliminato la Variazione di design."
"Cannot delete the design change.","Non è possibile eliminare la variazione di design."
"Manage Stores","Gestione Negozi"
"The website does not exist.","Il website non esiste."
"Before modifying the website code please make sure that it is not used in index.php.","Prima di modificare il codice del website assicurati che non sia utilizzato in index.php."
"The store does not exist","Il negozio non esiste"
"Store view doesn't exist","La vista negozio non esiste"
