Cancel,Annulla
Action,Azione
failed,fallito
successful,riuscito
Delete,Elimina
Name,Nome
Type,Tipo
System,Sistema
"We can't save the Cron expression.","Non è possibile salvare il Cron."
Database,Database
Time,Tempo
"System Backup","Backup di Sistema"
"Database and Media Backup","Backup Database e Media"
"Database Backup","Backup Database"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","L'archivio può essere decompresso con <a href=""%1"">%2</a> su sistemi Windows."
Backups,Backups
Tools,Tools
Backup,Backup
"You need more permissions to activate maintenance mode right now.","Hai bisogno di maggiori permessi per attivare la modalità manutenzione."
"To continue with the backup, you need to either deselect ' '""Put store on the maintenance mode"" or update your permissions.","Per continuare con il backup, è necessario deselezionare ' '""Imposta il negozio in modalità manutenzione"" o aggiorna i permessi."
"Something went wrong putting your store into maintenance mode.","Qualcosa è andata storta durante l'impostazione della modalità manutenzione."
"You need more free space to create a backup.","Hai bisogno di maggiore spazio libero per creare un backup."
"You need more permissions to create a backup.","Hai bisogno di maggiori permessi per creare un backup."
"Something went wrong creating the backup.","Qualcosa è andata stora durante la creazione del backup."
"Please correct the password.","Correggere la password."
"To continue with the rollback, you need to either deselect ' '""Put store on the maintenance mode"" or update your permissions.","Per continuare con il ripristino, devi deselezionare ' '""Imposta il negozio in modalità manutenzione"" o aggiorna i permessi."
"The backup file was not found.","Non sono stati trovati file di backup."
"We couldn't connect to the FTP.","Non è possibile connettersi in FTP."
"Failed to validate FTP","Validazione FTP fallita"
"Not enough permissions to perform rollback.","Non hai l'autorizzazione per eseguire il ripristino."
"Failed to rollback","Ripristino fallito"
"We couldn't delete one or more backups.","Non è possibile eliminare uno o più backup."
"The selected backup(s) has been deleted.","I backup selezionati sono stati eliminati."
"Database and Media","Database e Media"
"System (excluding Media)","Sistema (escludendo Media)"
"The system backup has been created.","Il backup di sistema è stato creato."
"The system backup (excluding media) has been created.","Il backup di sistema (escludendo media) è stato creato."
"The database and media backup has been created.","Il backup di database e media è stato creato."
"The database backup has been created.","Il backup del database è stato creato."
"Please correct the order of creation for a new backup.","Correggi l'ordine di creazione per i nuovi backup."
"The backup file does not exist.","I file di backup non esistono."
"The backup file path was not specified.","Il percorso dei file di backup non è stato specificato."
"The backup file ""%1"" does not exist.","Il file di backup ""%1"" non esiste."
"Sorry, but we cannot read from or write to backup file ""%1"".","Non è possibile leggere o scrivere il file di backup ""%1""."
"The backup file handler was unspecified.","La gestione del file di backup non è stata specificata."
"Something went wrong writing to the backup file ""%1"".","Qualcosa è andata storta durante la scrittura del file di backup ""%1""."
Warning,Attenzione
"Any data created since the backup was made will be lost including admin users, customers and orders.","Tutti i dati creati dopo il backup saranno persi, inclusi utenti admin, clienti e ordini."
"Are you sure you want to proceed?","Sei sicuro di voler continuare?"
OK,OK
"It will take time to create a backup.","Occorrerà del tempo per creare un backup."
"Please wait until the action ends.","Attendi che l'azione finisca."
"Are you sure you want to continue?","Sei sicuro di voler continuare?"
"Backup options","Opzioni Backup"
"Please specify backup creation option.","Specifica le opzioni di creazione del backup."
"Backup Name","Nome Backup"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Utilizza solo lettere (a-z o A-Z), numeri (0-9) o spazi in questo campo."
"Please put your store into maintenance mode during backup.","Imposta il tuo negozio in modalità manutenzione durante il backup."
"Exclude media folder from backup","Escludi cartella media dal backup"
"Please enter a password.","Inserisci una password."
"Please enter the password to confirm rollback.","Inserisci la password per confermare il ripristino."
"This action cannot be undone.","Questa azione non può essere annullata."
"User Password","Password Utente"
"Please put your store into maintenance mode during rollback processing.","Imposta il tuo negozio in modalità manutenzione durante il processo di ripristino."
"Use FTP Connection","Usa Connessione FTP"
"FTP credentials","Credenziali FTP"
"FTP Host","FTP Host"
"FTP Login","FTP Login"
"FTP Password","FTP Password"
"Magento root directory","Magento root directory"
"Create Backup","Crea Backup"
Download,Download
"Start Time","Data Inizio"
Frequency,Frequeza
"Scheduled Backup Settings","Impostazioni di backup pianificati"
"Enable Scheduled Backup","Attiva Backup Pianificati"
"Backup Type","Tipo Backup"
"Maintenance Mode","Modalità Manutenzione"
"Are you sure you want to delete the selected backup(s)?","Sei sicuro di voler eliminare i backup selezionati?"
Size(bytes),Dimensione(bytes)
Rollback,Ripristino
