None,None
Close,Close
Cancel,Cancel
Product,Product
Price,Price
ID,ID
SKU,SKU
Qty,Qtà
"Excl. Tax","Escl. Tasse"
Total,Totale
"Incl. Tax","Incl. Tasse"
"Total incl. tax","Totale incl. tasse"
Delete,Elimina
Name,Nome
From,Da
To,A
Required,Obbligatorio
Position,Posizione
"Percent Discount","Sconto Percentuale"
"-- Select --","-- Seleziona --"
Dynamic,Dinamico
Fixed,Fisso
"Create New Option","Crea una Nuova Opzione"
"Bundle Items","Oggetti Bundle"
"Add Products to Option","Aggiungi Prodotti all'Opzione"
"Delete Option","Elimina Opzione"
"Please enter search conditions to view products.","Inserisci una condizione di ricerca per vedere i prodotti."
"Use Default Value","Usa Valore di Default"
"There is no defined renderer for ""%1"" option type.","Non è stato definito un renderer per il tipo di opzione ""%1""."
"As Low as","A partire da"
"Price Range","Range di Prezzo"
"Please specify product option(s).","Specifica le opzioni prodotto."
"Please select all required options.","Seleziona tutte le opzioni obbligatorie."
"The required options you selected are not available.","Le opzioni che hai selezionato non sono disponibili."
"We cannot add this item to your shopping cart.","Non è possibile aggiungere questo prodotto al carrello."
N/A,N/A
Percent,Percentuale
Qty:,Qtà:
"Choose a selection...","Scegli una selezione..."
"Ship Bundle Items","Spedisci Prodotti Bundle"
Separately,Separatamente
Together,Insieme
"Option Title","Titolo Opzione"
"Store View Title","Titolo Store View"
"Input Type","Tipo Input"
"There are no products in this option.","Non ci sono prodotti in questa opzione."
"New Option","Nuova Opzione"
Default,Default
"Price Type","Tipo Prezzo"
"Default Quantity","Quantità Default"
"User Defined","Definito dall'utente"
Ordered,Ordinati
Invoiced,Fatturati
Shipped,Spediti
Refunded,Rimborsati
Canceled,Cancellati
"As low as","A partire da"
From:,Da:
To:,A:
"Buy %1 with %2 discount each","Compra %1 con uno sconto ciascuno di %2"
"Go back to product details","Torna indietro ai dettagli del prodotto"
"Customize and Add to Cart","Personalizza e Aggiungi al Carrello"
"* Required Fields","* Campi Obbligatori"
"Your Customization","La tua Personalizzazione"
Availability,Disponibilità
"In stock","Disponibile"
"Out of stock","Non Disponibile"
Summary,Riepilogo
"%1 x %2","%1 x %2"
Availability:,Disponibilità:
"Customize %1","Personalizza %1"
"No options of this product are available.","Nessuna opzione di questo prodotto è disponibile."
"Gift Message","Messaggio Regalo"
Message:,Messaggio:
"Excl. Tax:","Escl. Tasse:"
"Incl. Tax:","Incl. Tasse:"
"Total Incl. Tax","Totale Incl. Tasse"
"Add Products to New Option","Aggiungi Prodotti alla Nuova Opzione"
"Add Products to Option ""%1""","Aggiungi Prodotti all'opzione ""%1"""
"Add Selected Products","Aggiungi Prodotti Selezionati"
