"Insert Widget...","Inserisci Widget..."
"No records found.","Nessun record trovato."
"Recent items","Elementi Recenti"
"Show all...","Mostra Tutto..."
"Method ","Metodo "
"Please wait...","Attendi..."
"Please wait...","Attendi..."
Loading...,Caricamento...
Loading...,Caricamento...
Cancel,Cancella
Save,Salva
Translate,Traduci
Submit,Invia
Close,Chiudi
"Please enter a value less than or equal to %s.","Inserisci un valore minore o uguale a %s."
"Please enter a value greater than or equal to %s.","Inserisci un valore maggiore o uguale a %s."
"Maximum length of this field must be equal or less than %1 symbols.","La lunghezza massima di questo campo deve essere uguale o minore di %1 caratteri."
"This is a required field.","Questo è un campo obbligatorio."
"Please enter a valid year (1900-%1).","Inserisci un valore dell'anno valido (1900-%1)."
"Please enter a valid day (1-%1).","Inserisci un valore del giorno valido (1-%1)."
"Please enter a date in the past.","Inserisci una data passata."
"Please enter a date between %min and %max.","Inserisci una data tra %min e %max."
